bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,1,55,36
ab,N,Y,N,0,5,0
ad,N,N,N,0,0,0
ae,N,N,N,0,0,0
af,N,N,N,0,1,0
ag,N,Y,N,0,3,0
ah,N,N,N,0,0,0
ai,N,N,N,0,0,0
aj,N,N,N,0,0,0
ak,N,Y,N,1,8,0
al,Y,Y,N,2,18,0
am,N,Y,N,0,8,0
an,N,Y,Y,0,27,2
ao,N,N,N,0,0,0
ap,N,N,N,0,0,0
ar,N,N,N,1,1,1
as,N,Y,Y,1,51,3
at,N,Y,N,1,17,0
au,N,N,N,0,0,0
av,N,Y,N,0,3,0
aw,Y,Y,Y,2,37,27
ay,Y,Y,Y,4,87,43
az,N,N,N,0,1,0
aà,N,N,N,0,0,0
aè,N,N,N,0,0,0
aì,N,N,N,0,0,0
aò,N,N,N,0,0,0
aù,N,N,N,0,0,0
aú,N,N,N,0,0,0
aŋ,N,Y,Y,1,85,61
aɔ,N,N,N,0,0,0
aə,N,N,N,0,0,0
aɨ,N,N,N,0,0,0
aꞌ,N,Y,Y,0,47,19
ba,Y,Y,Y,12,40,13
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,N,7,12,1
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,13,26,7
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,3,6,2
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,11,20,5
bv,N,N,N,0,0,0
bw,Y,Y,N,27,36,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bà,Y,N,N,10,0,1
bè,Y,N,N,7,1,1
bì,Y,N,N,8,0,1
bò,N,N,N,1,0,0
bù,Y,N,N,4,0,1
bú,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,5,17,2
bə,Y,Y,Y,8,14,2
bɨ,Y,Y,Y,27,24,7
bꞌ,N,N,N,0,0,0
da,Y,Y,Y,4,30,4
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,N,2,11,0
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,N,Y,Y,1,20,5
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,Y,Y,0,6,3
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,5,7,4
dv,N,N,N,0,0,0
dw,Y,Y,N,5,20,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
dà,N,Y,N,0,4,1
dè,Y,Y,N,2,2,0
dì,N,Y,N,0,4,1
dò,N,N,N,0,0,0
dù,Y,N,N,6,0,1
dú,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,Y,Y,Y,4,26,6
də,Y,Y,Y,3,13,7
dɨ,Y,Y,Y,11,37,8
dꞌ,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,N,N,N,0,0,0
ed,N,N,N,0,0,0
ee,Y,Y,Y,2,36,22
ef,N,Y,N,0,3,1
eg,N,N,N,0,0,0
eh,N,N,N,0,0,0
ei,N,N,N,0,0,0
ej,N,N,N,0,0,0
ek,N,Y,N,0,2,0
el,N,Y,N,1,5,0
em,N,Y,N,0,3,0
en,N,Y,N,1,32,1
eo,N,N,N,0,0,0
ep,N,N,N,0,0,0
er,Y,N,N,2,0,0
es,N,Y,N,1,13,0
et,N,Y,N,0,15,0
eu,N,N,N,0,0,0
ev,N,N,N,0,0,0
ew,N,N,N,0,0,0
ey,N,Y,Y,1,55,31
ez,N,N,N,0,0,0
eà,N,N,N,0,0,0
eè,N,N,N,0,0,0
eì,N,N,N,0,0,0
eò,N,N,N,0,0,0
eù,N,N,N,0,0,0
eú,N,N,N,0,0,0
eŋ,N,N,N,0,1,0
eɔ,N,N,N,0,0,0
eə,N,N,N,0,0,0
eɨ,N,N,N,0,0,0
eꞌ,N,Y,Y,0,48,21
fa,Y,Y,Y,6,18,7
fb,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,Y,5,6,2
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,Y,15,20,7
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,N,N,0,0,0
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,8,16,6
fv,N,N,N,0,0,0
fw,Y,Y,N,9,9,0
fy,N,N,N,0,0,0
fz,N,N,N,0,0,0
fà,Y,N,N,4,0,1
fè,Y,N,N,4,0,1
fì,Y,N,N,10,0,1
fò,N,N,N,0,0,0
fù,Y,N,N,4,0,1
fú,N,N,N,0,0,0
fŋ,N,N,N,0,0,0
fɔ,Y,Y,Y,5,6,3
fə,Y,Y,Y,33,13,7
fɨ,Y,Y,Y,17,18,3
fꞌ,N,N,N,0,0,0
ga,Y,Y,N,4,11,0
gb,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,N,Y,Y,0,6,4
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,Y,Y,N,32,37,0
gi,Y,Y,Y,2,11,6
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,N,N,0,0,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,Y,Y,Y,5,3,2
gp,N,N,N,0,0,0
gr,N,N,N,1,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,Y,Y,Y,4,5,4
gv,N,N,N,0,0,0
gw,Y,Y,N,7,19,0
gy,N,N,N,0,0,0
gz,N,N,N,0,0,0
gà,Y,N,N,6,0,0
gè,N,N,N,0,0,0
gì,Y,N,N,2,0,1
gò,Y,N,N,3,0,1
gù,Y,N,N,3,0,1
gú,N,N,N,0,0,0
gŋ,N,N,N,0,0,0
gɔ,Y,Y,Y,2,6,2
gə,Y,Y,Y,4,6,5
gɨ,Y,Y,Y,10,5,2
gꞌ,N,N,N,0,0,0
ha,N,Y,Y,0,30,2
hb,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,Y,Y,N,2,10,1
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,N,Y,Y,1,53,11
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,N,Y,N,0,11,1
hp,N,N,N,0,0,0
hr,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,N,Y,Y,1,24,5
hv,N,N,N,0,0,0
hw,N,Y,N,1,29,0
hy,N,N,N,0,0,0
hz,N,N,N,0,0,0
hà,N,Y,N,0,8,1
hè,N,Y,N,0,4,1
hì,N,Y,N,0,7,1
hò,N,Y,N,0,5,1
hù,N,Y,N,0,6,1
hú,N,N,N,0,0,0
hŋ,N,N,N,0,0,0
hɔ,N,Y,Y,1,26,9
hə,N,Y,Y,1,30,10
hɨ,Y,Y,Y,2,42,13
hꞌ,N,N,N,0,0,0
ia,N,Y,Y,1,61,40
ib,Y,Y,N,2,22,0
