bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,0,4,4
ab,Y,Y,N,3,16,0
ac,N,N,N,0,0,0
ad,Y,Y,N,2,7,0
ae,N,N,N,0,0,0
af,N,Y,N,1,17,0
ag,N,Y,N,1,19,0
ah,N,N,N,0,0,0
ai,N,N,N,0,0,0
ak,Y,Y,N,3,16,0
al,Y,Y,N,4,24,0
am,Y,Y,N,10,11,0
an,Y,Y,N,10,63,0
ao,N,Y,N,0,12,0
ap,N,N,N,0,0,0
ar,Y,Y,N,7,43,0
as,Y,Y,N,3,33,0
at,N,Y,N,0,13,1
au,N,N,N,0,1,0
av,N,Y,N,0,2,0
aw,N,Y,N,0,9,0
ay,Y,Y,N,3,40,0
az,Y,Y,N,2,12,0
aá,N,Y,Y,0,7,4
aé,N,N,N,0,0,0
aí,N,N,N,0,0,0
aó,N,Y,N,0,27,0
aú,N,N,N,0,0,0
aɨ,N,N,N,0,0,0
aṇ,N,N,N,1,1,0
aṛ,N,Y,N,0,2,0
aṿ,N,N,N,0,0,0
aị,N,N,N,0,0,0
aụ,N,Y,N,0,2,1
aꞌ,N,Y,N,0,18,0
ba,Y,Y,Y,13,93,24
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,2,29,11
bf,N,N,N,0,0,0
bg,N,Y,N,0,2,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,19,63,20
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,4,38,15
bp,N,N,N,0,0,0
br,N,Y,N,0,6,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,15,33,11
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bá,Y,Y,Y,11,45,10
bé,N,Y,Y,0,40,11
bí,N,Y,Y,1,47,13
bó,N,Y,Y,1,58,27
bú,Y,Y,Y,8,41,12
bɨ,Y,Y,Y,29,5,2
bṇ,N,N,N,0,0,0
bṛ,N,N,N,0,0,0
bṿ,N,N,N,0,0,0
bị,Y,Y,Y,3,17,12
bụ,Y,Y,Y,20,97,44
bꞌ,N,N,N,0,0,0
ca,Y,Y,N,3,8,1
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,1,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,0,0,0
ci,Y,Y,Y,8,14,7
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,1,1
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,Y,Y,0,17,4
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cá,Y,Y,N,2,4,0
cé,Y,N,N,2,1,1
cí,Y,Y,Y,12,15,10
có,Y,Y,Y,4,7,4
cú,Y,N,N,5,1,1
cɨ,N,N,N,0,0,0
cṇ,N,N,N,0,0,0
cṛ,N,N,N,0,0,0
cṿ,N,N,N,0,0,0
cị,Y,Y,Y,2,28,18
cụ,N,Y,Y,1,14,7
cꞌ,N,N,N,0,0,0
da,Y,Y,Y,2,38,19
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,4,48,7
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,9,51,20
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,42,80,33
dp,N,N,N,0,0,0
dr,Y,Y,N,4,74,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,3,54,10
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
dá,Y,Y,Y,7,69,19
dé,Y,Y,Y,6,77,4
dí,Y,Y,Y,10,113,13
dó,Y,Y,Y,17,112,21
dú,Y,Y,Y,5,50,4
dɨ,N,N,N,0,0,0
dṇ,N,N,N,0,0,0
dṛ,N,N,N,0,0,0
dṿ,N,N,N,0,0,0
dị,Y,Y,Y,2,21,15
dụ,Y,Y,Y,5,83,44
dꞌ,N,N,N,0,0,0
ea,N,Y,Y,0,5,5
eb,N,N,N,0,0,0
ec,N,Y,N,0,8,0
ed,N,Y,N,0,10,0
ee,N,Y,Y,0,2,2
ef,N,Y,N,1,3,0
eg,N,Y,N,0,7,0
eh,N,N,N,0,0,0
ei,N,N,N,0,0,0
ek,Y,Y,N,6,7,0
el,N,Y,N,0,13,0
