bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,0,25,9
ab,N,N,N,0,1,0
ac,N,Y,N,0,6,0
ad,N,Y,N,0,2,0
ae,N,N,N,0,0,0
af,N,Y,N,0,3,0
ag,N,Y,N,0,4,0
ah,N,N,N,0,0,0
ai,N,N,N,0,1,0
aj,N,N,N,0,0,0
ak,N,Y,N,0,5,0
al,N,Y,N,0,6,0
am,N,Y,N,0,12,0
an,N,Y,N,0,21,0
ao,N,Y,Y,0,45,10
ap,N,Y,N,0,9,0
ar,N,Y,N,0,11,0
as,N,Y,N,0,11,0
at,N,Y,N,0,8,0
au,N,N,N,0,0,0
av,N,N,N,0,0,0
aw,N,Y,N,0,3,0
ay,N,N,N,0,0,0
aŋ,N,Y,Y,0,51,41
aɔ,N,N,N,0,0,0
aə,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
aɨ,N,N,N,0,0,0
aʼ,N,Y,N,0,72,0
ba,N,Y,N,1,16,0
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,N,Y,Y,0,2,2
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,Y,Y,0,13,2
bi,N,Y,N,0,13,1
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,1,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,N,Y,N,0,2,1
bp,N,N,N,0,0,0
br,Y,Y,N,3,6,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,N,Y,N,0,7,1
bv,N,N,N,0,0,0
bw,N,Y,N,0,2,0
by,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,N,Y,Y,1,5,2
bə,N,Y,N,1,3,0
bɛ,N,Y,N,0,3,0
bɨ,N,Y,N,1,11,1
bʼ,N,N,N,0,0,0
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,Y,50,76,2
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
cə,N,N,N,0,0,0
cɛ,N,N,N,0,0,0
cɨ,N,N,N,0,0,0
cʼ,N,N,N,0,0,0
da,N,Y,Y,0,18,8
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,N,N,N,1,1,1
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,Y,N,0,5,0
di,Y,Y,Y,2,15,2
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,Y,N,1,3,0
dp,N,N,N,0,0,0
dr,N,Y,N,1,4,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,N,Y,N,0,14,1
dv,N,N,N,0,0,0
dw,N,Y,N,0,3,0
dy,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,N,Y,Y,1,2,2
də,N,Y,N,0,2,0
dɛ,N,Y,N,0,5,1
dɨ,N,Y,N,0,5,1
dʼ,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,N,N,N,0,0,0
ec,N,Y,N,0,2,0
ed,N,N,N,0,0,0
ee,N,N,N,0,0,0
ef,N,N,N,0,0,0
eg,N,N,N,0,0,0
eh,N,N,N,0,0,0
ei,N,Y,Y,0,25,25
ej,N,N,N,0,0,0
ek,N,Y,N,0,2,0
el,N,Y,N,0,3,0
em,N,Y,N,1,4,0
en,N,Y,N,0,2,0
eo,N,N,N,0,0,0
ep,N,N,N,0,0,0
er,N,N,N,0,1,0
es,N,Y,N,0,5,0
et,N,Y,N,0,2,0
eu,N,N,N,0,0,0
ev,N,N,N,0,1,0
ew,N,N,N,0,0,0
ey,N,N,N,0,0,0
eŋ,N,Y,Y,0,8,6
eɔ,N,N,N,0,0,0
eə,N,N,N,0,0,0
eɛ,N,N,N,0,0,0
eɨ,N,N,N,0,0,0
eʼ,N,N,N,0,0,0
fa,Y,Y,N,4,3,0
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
