bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,0,28,13
ab,Y,Y,Y,41,24,13
ac,Y,N,N,18,0,0
ad,Y,Y,Y,24,53,50
ae,N,N,N,0,0,0
af,N,N,N,0,0,0
ag,N,Y,Y,0,58,33
ah,Y,N,N,22,0,0
ai,N,N,N,0,0,0
aj,N,N,N,0,0,0
ak,Y,N,N,53,1,0
al,Y,Y,Y,12,21,6
am,Y,Y,Y,11,38,10
an,Y,Y,Y,44,70,42
ao,N,N,N,0,0,0
ap,Y,Y,N,28,3,1
ar,N,N,N,0,0,0
as,Y,N,N,27,1,0
at,Y,Y,N,21,3,0
au,N,N,N,0,0,0
aw,Y,N,N,16,0,1
ay,Y,N,N,2,0,0
az,N,N,N,0,0,0
aŋ,N,Y,Y,0,30,20
aɔ,N,N,N,0,0,0
aə,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
aʼ,N,N,Y,1,1,2
ba,Y,Y,N,3,22,1
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,28,30,25
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,N,Y,N,0,3,0
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,Y,Y,N,2,7,0
bo,Y,Y,N,4,22,0
bp,N,Y,N,1,5,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,Y,Y,N,2,2,0
bu,Y,Y,N,2,8,1
bw,Y,Y,N,4,11,0
by,N,Y,N,0,3,0
bz,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,N,3,8,0
bə,N,Y,N,0,4,0
bɛ,Y,Y,Y,13,38,9
bʼ,N,N,N,0,0,0
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,N,16,55,1
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
cə,N,N,N,0,0,0
cɛ,N,N,N,0,0,0
cʼ,N,N,N,0,0,0
da,N,N,N,0,0,0
db,N,N,N,0,1,0
dc,N,N,N,0,1,0
dd,N,N,N,0,0,0
de,Y,Y,Y,21,53,36
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,N,2,19,0
dj,N,N,N,0,0,0
dk,N,N,N,0,1,0
dl,N,N,N,0,0,0
dm,N,Y,N,0,2,0
dn,N,Y,N,1,7,0
do,Y,Y,N,2,9,0
dp,N,N,N,0,0,0
dr,Y,N,N,2,0,0
ds,N,N,N,0,0,0
dt,Y,Y,N,2,18,0
du,Y,Y,N,3,11,0
dw,N,N,N,0,0,0
dy,Y,Y,N,5,5,0
dz,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,N,Y,N,0,3,0
də,N,Y,N,1,7,0
dɛ,Y,Y,Y,3,10,6
dʼ,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,Y,Y,Y,15,18,6
ec,Y,Y,N,7,4,0
ed,Y,Y,Y,10,87,71
ee,Y,N,N,2,1,1
ef,N,N,N,0,0,0
eg,N,N,N,0,1,0
eh,Y,Y,N,8,5,1
ei,N,N,N,0,0,0
ej,N,N,N,0,0,0
ek,Y,Y,N,30,21,0
el,Y,Y,Y,6,16,6
em,Y,Y,Y,6,26,18
en,Y,Y,Y,9,32,7
eo,N,N,N,0,0,0
ep,Y,Y,N,20,4,0
er,N,N,N,0,1,0
es,Y,Y,N,8,12,1
et,Y,Y,N,7,9,0
eu,N,N,N,0,0,0
ew,Y,Y,N,6,3,0
ey,Y,N,N,5,1,1
ez,N,N,N,0,0,0
eŋ,N,N,N,0,0,0
eɔ,N,N,N,0,0,0
eə,N,N,N,0,0,0
eɛ,N,N,N,0,0,0
eʼ,Y,Y,Y,53,74,75
fa,N,N,N,0,0,0
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,N,N,0,0,0
