bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,19,1117,88
ab,Y,Y,Y,56,289,23
ad,N,N,N,1,0,0
ae,N,N,N,0,0,0
af,Y,Y,Y,42,175,7
ag,Y,Y,Y,5,10,2
ah,Y,Y,Y,52,271,23
ai,N,Y,N,0,8,1
aj,Y,Y,Y,110,426,39
ak,Y,Y,Y,61,401,67
al,Y,Y,Y,25,191,26
am,Y,Y,Y,18,716,347
an,Y,Y,Y,57,1632,546
ao,N,Y,Y,0,13,10
ap,N,N,N,1,0,0
ar,Y,Y,Y,411,625,87
as,Y,Y,Y,91,337,42
at,Y,Y,Y,53,475,67
au,N,Y,N,0,8,1
aw,Y,Y,Y,72,293,30
ay,Y,Y,Y,69,257,39
aá,N,N,N,0,0,0
aé,N,N,N,0,0,0
aí,N,N,N,0,0,0
añ,Y,Y,Y,16,120,12
aó,N,N,N,0,0,0
aú,N,N,N,0,0,0
aŋ,Y,Y,Y,25,432,76
ba,Y,Y,Y,62,443,36
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,135,113,46
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,244,135,4
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,17,225,22
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,197,233,18
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bá,Y,N,N,43,0,0
bé,Y,N,N,62,0,0
bí,Y,N,N,105,0,0
bñ,N,N,N,0,0,0
bó,Y,N,N,4,0,0
bú,Y,N,N,115,0,0
bŋ,N,N,N,0,0,0
da,Y,Y,Y,3,42,7
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,38,36,27
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,37,77,4
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,4,28,7
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,19,23,18
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dá,N,N,N,1,0,0
dé,Y,N,N,24,0,0
dí,Y,N,N,18,0,0
dñ,N,N,N,0,0,0
dó,Y,N,N,5,0,0
dú,Y,N,N,16,0,0
dŋ,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,Y,Y,Y,23,150,7
ed,N,Y,N,0,17,0
ee,Y,Y,Y,371,1804,689
ef,Y,Y,Y,18,116,4
eg,Y,Y,Y,2,31,4
eh,Y,Y,Y,35,185,3
ei,N,Y,Y,0,241,4
ej,Y,Y,Y,34,286,10
ek,Y,Y,Y,23,278,11
el,Y,Y,Y,14,114,11
em,Y,Y,Y,20,167,10
en,Y,Y,Y,24,633,151
eo,N,N,N,0,0,0
ep,N,N,N,1,0,0
er,Y,Y,Y,32,179,20
es,Y,Y,Y,31,266,23
et,Y,Y,Y,21,279,51
eu,N,Y,N,0,8,0
ew,Y,Y,N,15,144,1
ey,Y,Y,Y,18,401,43
eá,N,N,N,0,0,0
eé,N,N,N,0,0,0
eí,N,N,N,0,0,0
eñ,Y,Y,Y,2,109,4
eó,N,N,N,0,0,0
eú,N,N,N,0,0,0
eŋ,Y,Y,Y,5,309,59
fa,Y,Y,Y,14,275,10
fb,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,Y,4,129,27
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,Y,6,208,12
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,Y,Y,1,167,42
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,7,105,14
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fá,N,N,N,0,0,0
fé,N,N,N,1,0,0
fí,Y,N,N,2,0,0
fñ,N,N,N,0,0,0
fó,N,N,N,0,0,0
fú,N,N,N,0,0,0
fŋ,N,N,N,0,0,0
ga,N,Y,Y,0,70,12
gb,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,N,Y,Y,0,33,11
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,N,Y,N,0,151,1
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,N,N,0,0,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,N,Y,Y,0,35,5
gp,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,N,Y,Y,0,24,5
gw,N,N,N,0,0,0
gy,N,N,N,0,0,0
gá,N,N,N,0,0,0
gé,N,N,N,0,0,0
gí,N,N,N,0,0,0
gñ,N,N,N,0,0,0
gó,N,N,N,0,0,0
gú,N,N,N,0,0,0
gŋ,N,N,N,0,0,0
ha,Y,Y,Y,26,373,9
hb,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,Y,Y,Y,66,164,18
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,Y,Y,Y,141,234,3
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,Y,Y,Y,10,169,14
hp,N,N,N,0,0,0
hr,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,Y,Y,Y,109,85,9
hw,N,N,N,0,0,0
hy,N,N,N,0,0,0
há,Y,N,N,13,0,0
hé,Y,N,N,26,0,0
hí,Y,N,N,46,0,0
hñ,N,N,N,0,0,0
hó,Y,N,N,3,0,0
hú,Y,N,N,59,0,0
hŋ,N,N,N,0,0,0
ia,N,Y,Y,0,108,25
ib,Y,Y,Y,25,224,17
id,N,N,N,0,1,0
ie,N,Y,Y,0,188,126
if,Y,Y,Y,13,166,10
ig,N,Y,N,0,11,0
ih,Y,Y,Y,14,179,5
ii,Y,Y,Y,75,1311,45
ij,Y,Y,Y,43,265,18
ik,Y,Y,Y,14,358,40
il,Y,Y,Y,8,226,12
im,N,Y,Y,1,142,21
in,Y,Y,Y,15,1823,834
io,N,Y,Y,0,91,71
ip,N,N,N,0,0,0
ir,Y,Y,Y,162,166,15
is,Y,Y,Y,24,196,23
it,Y,Y,Y,9,676,379
iu,N,Y,N,0,30,0
iw,Y,Y,Y,24,98,2
iy,Y,Y,Y,17,330,18
iá,N,N,N,0,0,0
ié,N,N,N,0,0,0
ií,N,N,N,0,0,0
iñ,Y,Y,Y,4,125,7
ió,N,N,N,0,0,0
iú,N,N,N,0,0,0
iŋ,Y,Y,Y,7,270,25
ja,Y,Y,Y,15,464,49
jb,N,N,N,0,0,0
jd,N,N,N,0,0,0
je,Y,Y,Y,12,249,59
jf,N,N,N,0,0,0
jg,N,N,N,0,0,0
jh,N,N,N,0,0,0
ji,Y,Y,Y,8,125,11
jj,N,N,N,0,0,0
