bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,3,222,92
ab,N,N,N,0,0,0
ad,Y,Y,N,5,125,0
ae,Y,Y,Y,4,104,13
af,N,Y,N,0,8,0
ag,N,Y,N,0,12,0
ah,Y,Y,N,42,198,0
ai,Y,Y,Y,4,97,34
aj,N,N,N,0,0,0
ak,Y,Y,N,5,295,0
al,Y,Y,N,13,729,0
am,Y,Y,N,31,600,0
an,Y,Y,N,24,878,0
ao,N,Y,Y,1,41,15
ap,N,Y,N,1,304,0
ar,N,Y,N,0,18,0
as,N,Y,N,0,17,1
at,Y,Y,N,15,442,0
au,Y,Y,Y,2,139,15
av,Y,Y,N,12,278,0
aw,Y,Y,N,2,126,0
ay,Y,Y,N,2,96,0
aá,N,N,N,0,0,0
aé,N,N,N,0,0,0
aí,N,N,N,0,0,0
aó,N,N,N,0,0,0
ba,N,Y,Y,0,351,133
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,N,Y,Y,0,143,41
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,N,Y,Y,0,147,26
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,N,Y,Y,0,98,62
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,N,Y,Y,0,169,26
bv,N,N,N,0,0,0
bw,N,Y,N,0,55,0
by,N,Y,N,0,15,0
bá,N,N,N,0,0,0
bé,N,N,N,0,0,0
bí,N,N,N,0,0,0
bó,N,N,N,0,0,0
da,N,Y,Y,0,270,150
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,N,Y,Y,0,138,24
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,Y,Y,N,219,927,0
di,N,Y,Y,0,119,41
dj,N,Y,N,0,301,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,Y,Y,0,76,34
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,N,Y,Y,0,139,36
dv,N,N,N,0,0,0
dw,N,Y,N,0,14,0
dy,N,Y,N,0,7,0
dá,N,N,N,0,0,0
dé,N,N,N,0,0,0
dí,N,N,N,0,0,0
dó,N,N,N,0,0,0
ea,Y,Y,N,4,11,0
eb,N,N,N,0,0,0
ed,Y,Y,N,3,102,0
ee,Y,Y,Y,2,133,28
ef,N,N,N,0,0,0
eg,N,N,N,0,0,0
eh,Y,Y,N,16,94,0
ei,Y,Y,Y,6,31,2
ej,N,N,N,0,0,0
ek,Y,Y,N,20,401,0
el,Y,Y,N,24,905,0
em,Y,Y,N,3,145,0
en,Y,Y,N,18,547,0
eo,Y,Y,N,4,34,0
ep,Y,Y,N,20,100,0
er,N,Y,N,0,11,0
es,Y,Y,N,2,16,0
et,Y,Y,N,50,516,0
eu,Y,Y,Y,6,70,21
ev,Y,Y,N,4,62,0
ew,Y,Y,N,3,35,0
ey,Y,Y,N,6,77,0
eá,N,N,N,0,0,0
eé,N,N,N,0,0,0
eí,N,N,N,0,0,0
eó,N,N,N,0,0,0
fa,N,N,N,0,0,0
fb,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,Y,N,0,33,0
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,N,Y,Y,0,5,2
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,N,N,0,0,0
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,N,Y,N,0,10,0
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fá,N,N,N,0,0,0
fé,N,N,N,0,0,0
fí,N,N,N,0,0,0
fó,N,N,N,0,0,0
ga,N,Y,Y,0,456,233
gb,N,N,N,0,0,0
gd,N,N,N,0,1,0
ge,N,Y,Y,0,185,61
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
