bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,1,211,41
ab,N,Y,N,0,44,0
ad,N,Y,N,0,4,0
ae,N,N,N,0,0,0
af,N,Y,N,0,2,0
ag,N,Y,N,0,19,0
ah,N,N,N,0,0,0
ai,N,Y,Y,0,87,26
ak,N,Y,N,0,19,0
al,N,Y,N,0,77,0
am,N,N,N,0,1,0
an,N,Y,Y,1,160,31
ao,N,N,N,0,1,1
ap,N,Y,N,0,5,0
as,N,Y,N,0,4,0
at,Y,Y,N,2,6,0
au,N,N,N,0,0,0
av,N,N,N,0,0,0
aw,N,Y,N,0,33,0
ay,N,Y,N,0,59,0
az,N,Y,N,0,2,0
aà,N,Y,Y,0,34,31
aá,N,Y,Y,0,47,44
aâ,N,N,N,0,0,0
aè,N,N,N,0,0,0
aé,N,N,N,0,1,1
aê,N,N,N,0,0,0
aì,N,N,N,0,0,0
aí,N,Y,Y,0,3,3
aî,N,N,N,0,0,0
aò,N,Y,N,0,2,1
aó,N,Y,Y,0,2,2
aù,N,N,N,0,0,0
aú,N,Y,N,0,2,1
aɔ,N,N,N,0,1,1
aɛ,N,N,N,0,1,1
aɩ,N,N,N,0,0,0
aʋ,N,N,N,0,0,0
ba,Y,Y,Y,17,49,3
bb,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,N,5,11,1
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,Y,Y,N,151,118,0
bi,Y,Y,N,14,19,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,7,9,2
bp,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,N,17,5,1
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bà,Y,Y,Y,17,39,2
bá,Y,Y,Y,6,25,3
bâ,Y,N,N,2,1,0
bè,Y,Y,N,2,18,0
bé,N,Y,N,0,4,0
bê,N,N,N,0,0,0
bì,Y,Y,N,6,8,1
bí,Y,Y,N,9,9,0
bî,N,N,N,0,0,0
bò,Y,Y,Y,7,322,266
bó,Y,Y,N,2,5,0
bù,Y,Y,N,3,13,0
bú,Y,Y,N,12,10,1
bɔ,Y,Y,Y,9,19,4
bɛ,Y,Y,Y,12,2,2
bɩ,N,Y,N,1,6,1
bʋ,Y,N,Y,8,1,2
da,Y,Y,N,17,10,0
db,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,N,N,N,0,0,0
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,N,7,3,1
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,12,20,10
dp,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,N,N,5,1,1
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
dà,Y,N,N,7,1,0
dá,Y,Y,N,8,6,1
dâ,N,N,N,1,0,0
dè,Y,Y,N,3,4,0
dé,Y,N,N,6,0,0
dê,N,N,N,0,0,0
dì,Y,N,N,4,0,0
dí,Y,N,N,2,0,1
dî,Y,N,N,4,0,0
dò,Y,Y,N,3,2,1
dó,Y,N,N,3,0,0
dù,Y,Y,N,4,2,0
dú,N,N,N,0,0,0
dɔ,Y,Y,Y,24,29,11
dɛ,Y,N,N,3,0,1
dɩ,N,N,N,0,0,0
dʋ,Y,N,N,2,0,1
ea,N,N,N,0,0,0
eb,N,Y,N,1,16,0
ed,N,Y,N,0,2,0
ee,N,Y,Y,0,26,4
ef,N,Y,N,0,5,0
eg,N,Y,N,0,10,0
eh,N,N,N,0,0,0
ei,N,Y,Y,0,24,13
ek,N,Y,N,0,18,0
el,Y,Y,N,2,61,0
em,N,Y,N,0,7,0
en,N,Y,N,0,48,0
eo,N,N,N,0,0,0
ep,N,N,N,1,1,0
es,N,Y,N,1,4,0
et,N,Y,N,0,5,0
eu,N,N,N,0,0,0
ev,N,N,N,0,0,0
ew,N,Y,N,0,9,0
ey,N,Y,N,0,23,0
ez,N,Y,N,0,2,0
eà,N,Y,Y,0,18,18
eá,N,Y,Y,0,34,34
eâ,N,N,N,0,0,0
eè,N,N,N,0,1,0
eé,N,N,N,0,1,1
eê,N,N,N,0,0,0
eì,N,N,N,0,0,0
eí,N,N,N,0,0,0
eî,N,N,N,0,0,0
eò,N,N,N,0,0,0
eó,N,N,N,0,0,0
eù,N,N,N,0,0,0
eú,N,N,N,0,0,0
eɔ,N,N,N,0,0,0
eɛ,N,N,N,0,1,1
eɩ,N,N,N,0,0,0
eʋ,N,N,N,0,0,0
fa,Y,Y,N,6,3,0
fb,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,N,N,1,1,1
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,N,7,7,0
fk,N,N,N,0,0,0
fl,N,N,N,1,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,Y,N,N,3,0,0
fp,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,N,N,N,0,0,0
fv,N,N,N,0,0,0
fw,N,N,N,1,0,0
fy,N,N,N,0,0,0
fz,N,N,N,0,0,0
fà,Y,N,N,5,0,0
fá,Y,Y,N,7,5,0
fâ,N,N,N,0,0,0
fè,Y,N,N,2,0,0
fé,Y,Y,N,5,2,0
fê,N,N,N,0,0,0
fì,Y,N,N,6,0,0
fí,Y,N,N,4,0,0
fî,N,N,N,0,0,0
fò,N,N,N,0,0,0
fó,N,N,N,1,0,0
fù,N,N,N,1,0,0
fú,Y,N,N,2,0,0
fɔ,Y,Y,Y,3,3,4
fɛ,Y,N,Y,4,1,2
fɩ,Y,Y,N,3,10,1
fʋ,Y,N,N,2,0,1
ga,Y,Y,Y,20,24,11
gb,Y,Y,N,157,83,0
gd,N,Y,N,0,16,0
ge,Y,Y,Y,5,22,9
gf,N,N,N,0,0,0
gg,N,Y,N,0,68,0
gh,N,N,N,0,0,0
gi,Y,Y,Y,87,37,11
gk,N,Y,N,0,6,0
gl,N,Y,N,1,80,0
gm,N,N,N,0,1,0
gn,N,Y,N,0,6,0
go,Y,Y,Y,4,21,15
gp,N,Y,N,0,12,0
gs,N,Y,N,0,2,0
gt,N,Y,N,0,4,0
gu,Y,Y,N,13,4,1
gv,N,N,N,0,0,0
gw,Y,Y,N,41,17,0
gy,N,Y,N,0,12,0
gz,N,Y,N,0,15,0
gà,Y,Y,Y,16,11,4
gá,Y,Y,Y,10,14,8
gâ,N,N,N,0,0,0
gè,Y,N,N,6,1,0
gé,Y,Y,N,2,3,0
gê,N,N,N,0,0,0
gì,N,Y,N,1,2,1
gí,Y,N,N,6,0,0
gî,N,N,N,0,0,0
gò,Y,Y,Y,21,11,10
gó,Y,Y,Y,16,70,19
gù,Y,N,N,9,0,0
gú,Y,N,N,6,0,0
gɔ,Y,Y,Y,13,9,6
gɛ,Y,Y,Y,21,4,2
gɩ,N,N,N,0,1,0
gʋ,N,N,N,0,0,0
ha,N,Y,Y,0,32,10
hb,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,N,Y,N,0,6,1
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,N,Y,Y,0,17,4
hk,N,N,N,0,0,0
hl,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,N,Y,N,0,4,0
hp,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,N,Y,N,0,12,0
hv,N,N,N,0,0,0
hw,N,N,N,0,0,0
hy,N,N,N,0,0,0
hz,N,N,N,0,0,0
hà,N,Y,Y,0,89,28
há,N,Y,Y,0,31,2
hâ,N,N,N,0,0,0
hè,N,Y,Y,0,2,2
hé,N,Y,N,0,2,0
hê,N,N,N,0,1,0
hì,N,N,N,0,1,0
hí,N,Y,N,0,2,1
hî,N,N,N,0,0,0
hò,N,Y,N,0,2,0
hó,N,Y,N,0,4,1
hù,N,Y,N,0,5,0
hú,N,Y,N,0,6,0
hɔ,N,Y,Y,0,17,3
hɛ,N,Y,Y,0,26,2
hɩ,N,N,N,0,0,0
hʋ,N,Y,N,0,4,1
ia,N,Y,Y,0,26,13
ib,N,Y,N,1,49,0
id,N,Y,N,0,11,0
ie,N,Y,Y,0,46,4
if,N,Y,N,0,5,0
ig,N,Y,N,0,32,0
ih,N,N,N,0,0,0
ii,Y,Y,Y,2,185,131
ik,N,Y,N,0,17,0
il,Y,Y,N,2,96,0
im,N,Y,N,0,17,0
in,N,Y,Y,0,141,22
io,N,N,N,0,0,0
ip,N,Y,N,1,22,0
is,N,Y,N,0,22,0
it,N,Y,N,0,7,0
iu,N,N,N,0,0,0
iv,N,N,N,0,1,0
iw,N,Y,N,0,35,0
iy,N,Y,N,0,35,0
iz,N,Y,N,0,10,0
ià,N,Y,Y,0,35,16
iá,N,Y,Y,0,50,32
iâ,N,N,N,0,0,0
iè,N,Y,Y,0,15,5
ié,N,Y,N,0,14,1
iê,N,N,N,0,0,0
iì,N,N,N,0,0,0
ií,N,Y,Y,0,4,2
iî,N,N,N,0,0,0
iò,N,N,N,0,0,0
ió,N,N,N,0,0,0
iù,N,N,N,0,0,0
iú,N,N,N,0,0,0
iɔ,N,Y,N,0,4,1
iɛ,N,Y,Y,0,3,2
iɩ,N,N,N,0,0,0
iʋ,N,N,N,0,0,0
ka,Y,Y,Y,23,20,4
kb,N,N,N,0,0,0
kd,N,N,N,0,0,0
ke,Y,Y,Y,19,15,4
kf,N,N,N,0,0,0
kg,N,N,N,0,0,0
kh,N,N,N,0,0,0
ki,Y,Y,Y,12,24,2
kk,N,N,N,0,0,0
kl,N,N,N,0,0,0
km,N,N,N,0,0,0
kn,N,N,N,0,0,0
ko,Y,Y,Y,9,7,2
kp,Y,Y,N,125,54,0
ks,N,N,N,0,0,0
kt,N,N,N,0,0,0
ku,Y,Y,N,11,9,0
kv,N,N,N,0,0,0
kw,Y,Y,N,56,6,1
ky,N,N,N,0,0,0
kz,N,N,N,0,0,0
kà,Y,Y,N,25,6,1
ká,Y,Y,Y,30,14,2
kâ,N,N,N,0,0,0
kè,Y,Y,N,7,6,1
ké,Y,Y,Y,14,21,2
kê,N,N,N,1,0,0
kì,N,N,N,1,0,0
kí,Y,N,N,3,1,0
kî,N,N,N,0,0,0
kò,Y,N,N,6,1,1
kó,Y,N,N,14,0,1
kù,Y,Y,N,2,2,0
kú,Y,Y,N,11,15,0
kɔ,Y,Y,Y,27,10,6
kɛ,Y,Y,Y,15,22,5
kɩ,Y,N,N,2,0,1
kʋ,N,N,N,1,0,1
la,Y,Y,Y,15,65,31
lb,N,N,N,0,0,0
ld,N,N,N,0,0,0
le,Y,Y,Y,50,197,147
lf,N,N,N,0,0,0
lg,N,N,N,0,0,0
lh,N,N,N,0,0,0
li,Y,Y,Y,27,62,18
lk,N,N,N,0,0,0
ll,N,N,N,0,0,0
lm,N,N,N,0,0,0
ln,N,N,N,0,0,0
lo,Y,Y,Y,9,61,25
lp,N,N,N,0,0,0
ls,N,N,N,0,0,0
lt,N,N,N,0,0,0
lu,Y,Y,Y,2,37,15
lv,N,N,N,0,0,0
lw,N,N,N,0,0,0
ly,N,N,N,0,0,0
lz,N,N,N,0,0,0
là,Y,Y,Y,20,47,26
lá,Y,Y,Y,15,74,22
lâ,N,N,N,0,0,0
lè,Y,Y,Y,11,31,7
lé,Y,Y,Y,119,156,123
lê,Y,N,N,5,0,1
lì,Y,Y,Y,11,21,5
lí,Y,Y,Y,24,28,9
lî,N,N,N,0,0,0
lò,Y,Y,Y,10,33,17
ló,Y,Y,Y,22,52,14
lù,Y,Y,Y,12,26,7
lú,Y,Y,Y,21,29,11
lɔ,Y,Y,Y,3,15,6
lɛ,Y,Y,Y,30,51,16
lɩ,N,N,N,1,1,1
lʋ,N,N,N,0,0,0
ma,Y,Y,Y,33,43,9
mb,N,N,N,0,0,0
md,N,N,N,0,0,0
me,N,N,N,0,0,0
mf,N,N,N,0,0,0
mg,N,N,N,0,0,0
mh,N,N,N,0,0,0
mi,Y,Y,N,21,7,1
mk,N,N,N,0,0,0
ml,N,N,N,0,0,0
mm,N,N,N,1,0,1
mn,N,N,N,0,0,0
mo,N,N,N,1,1,0
mp,N,N,N,0,0,0
ms,N,N,N,0,0,0
mt,N,N,N,0,0,0
mu,N,N,N,0,0,0
mv,N,N,N,0,0,0
mw,N,N,N,0,0,0
my,N,N,N,0,0,0
mz,N,N,N,0,0,0
mà,Y,Y,Y,11,7,2
má,Y,Y,Y,13,5,2
mâ,N,N,N,0,0,0
mè,N,N,N,0,0,0
mé,N,N,N,0,0,0
mê,N,N,N,0,0,0
mì,Y,N,N,7,0,1
mí,Y,Y,N,2,2,0
mî,N,N,N,0,0,0
mò,N,Y,Y,0,8,4
mó,N,N,N,0,0,0
mù,N,N,N,0,0,0
mú,Y,N,N,3,0,0
mɔ,Y,Y,Y,13,4,2
mɛ,Y,Y,Y,14,9,8
mɩ,N,N,N,0,0,0
mʋ,N,N,N,0,0,0
na,Y,Y,Y,12,36,19
nb,N,Y,N,1,46,1
nd,N,Y,N,0,13,0
ne,N,N,N,0,0,0
nf,N,Y,N,0,2,0
ng,N,Y,Y,0,333,59
nh,N,N,N,0,0,0
ni,Y,Y,Y,15,45,21
nk,N,Y,N,0,15,0
