bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,N,0,10,0
ab,Y,Y,Y,50,203,2
ac,N,Y,N,0,7,0
ad,Y,Y,Y,53,429,5
ae,N,Y,N,0,8,0
af,Y,Y,N,32,24,0
ag,N,Y,N,0,4,1
ah,N,Y,Y,1,318,48
ai,N,Y,Y,0,81,39
aj,N,N,N,0,0,0
ak,Y,Y,Y,222,631,249
al,Y,Y,Y,2,13,4
am,Y,Y,Y,71,309,128
an,Y,Y,Y,171,642,165
ao,N,Y,N,0,3,0
ap,N,Y,Y,0,46,28
aq,N,N,N,0,0,0
ar,Y,Y,Y,7,426,6
as,Y,Y,N,38,104,1
at,Y,Y,Y,34,319,152
au,N,Y,N,0,5,0
av,N,Y,N,1,2,0
aw,Y,Y,N,21,31,0
ay,Y,Y,N,18,45,1
az,N,Y,N,0,7,1
aŋ,Y,Y,Y,16,562,140
aɔ,N,N,N,0,1,0
ba,Y,Y,Y,17,307,38
bb,N,Y,N,0,3,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,11,384,115
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,9,490,79
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,1,0
bm,N,N,N,0,0,0
bn,N,N,N,0,1,0
bo,Y,Y,Y,3,200,48
bp,N,N,N,1,0,0
bq,N,N,N,0,0,0
br,N,Y,N,1,27,0
bs,N,N,N,0,0,0
bt,N,N,N,0,1,0
bu,Y,Y,Y,9,369,6
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,7,302,69
ca,N,Y,N,0,2,0
cb,N,N,N,0,1,0
cc,N,Y,N,0,2,0
cd,N,N,N,0,0,0
ce,N,Y,Y,0,4,2
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,Y,4,8,6
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,1,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,Y,Y,N,2,4,0
cp,N,N,N,0,0,0
cq,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,1,1,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,1,0,0
cz,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
da,Y,Y,Y,11,300,48
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,Y,N,0,4,0
de,Y,Y,Y,5,2394,2229
df,N,N,N,0,1,0
dg,N,Y,N,0,2,0
dh,N,N,N,0,0,0
di,Y,Y,Y,22,1946,48
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,4,257,30
dp,N,N,N,0,0,0
dq,N,N,N,0,0,0
dr,Y,N,N,2,0,0
ds,N,Y,N,0,4,1
dt,N,Y,N,0,2,0
du,Y,Y,Y,20,510,40
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dy,N,N,N,0,1,0
dz,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dɔ,Y,Y,Y,5,246,23
ea,N,Y,N,0,6,1
eb,Y,Y,N,170,331,1
ec,N,Y,N,0,2,0
ed,Y,Y,Y,693,812,10
ee,N,Y,N,0,4,0
ef,Y,Y,N,105,119,0
eg,N,Y,N,1,3,0
eh,N,Y,Y,0,161,7
ei,N,Y,Y,1,16,3
ej,N,N,N,0,0,0
ek,Y,Y,Y,1054,612,65
el,Y,Y,Y,4,11,6
em,Y,Y,Y,236,471,127
en,Y,Y,Y,109,528,93
eo,N,Y,N,0,2,0
ep,N,Y,Y,1,79,47
eq,N,N,N,0,0,0
er,Y,Y,Y,189,382,11
es,Y,Y,Y,169,293,5
et,Y,Y,Y,119,424,108
eu,Y,Y,N,2,3,0
ev,N,N,N,0,0,0
ew,Y,Y,N,58,90,0
ey,Y,Y,Y,452,112,2
ez,Y,Y,Y,2,6,2
eŋ,Y,Y,Y,23,213,22
eɔ,N,Y,N,0,5,0
fa,Y,Y,Y,5,96,5
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,Y,2,114,4
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,Y,7,277,2
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,1,1
fo,Y,Y,Y,2,39,9
fp,N,N,N,0,0,0
fq,N,N,N,0,0,0
fr,Y,Y,N,4,41,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,5,160,3
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fz,N,N,N,0,0,0
fŋ,N,N,N,0,0,0
fɔ,Y,Y,Y,3,122,2
ga,Y,Y,Y,6,11,7
gb,N,N,N,0,0,0
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,Y,Y,Y,2,29,24
gf,N,N,N,0,0,0
gg,N,N,N,0,1,0
gh,N,Y,N,0,2,0
gi,Y,Y,Y,3,47,28
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,Y,N,0,2,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,N,Y,N,0,2,1
gp,N,N,N,0,0,0
gq,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,N,N,N,0,1,0
gv,N,N,N,0,0,0
gw,N,N,N,0,0,0
gy,N,N,N,0,0,0
gz,N,N,N,0,0,0
gŋ,N,N,N,0,0,0
gɔ,N,N,N,0,0,0
ha,Y,Y,Y,26,290,177
hb,N,N,N,0,0,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,Y,Y,Y,6,229,140
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,1,0
hi,N,Y,Y,1,60,33
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,N,N,0,1,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,Y,Y,Y,6,53,35
hp,N,Y,N,0,2,0
hq,N,N,N,0,0,0
hr,N,Y,N,0,2,0
hs,N,N,N,0,0,0
ht,N,Y,N,0,3,0
hu,Y,Y,Y,2,11,5
hv,N,N,N,0,0,0
hw,N,N,N,0,0,0
hy,N,N,N,0,1,0
hz,N,N,N,0,0,0
hŋ,N,N,N,0,0,0
hɔ,Y,Y,Y,3,523,257
ia,N,Y,Y,0,424,62
ib,Y,Y,Y,130,445,4
ic,N,N,N,0,1,0
id,Y,Y,N,435,596,1
ie,N,Y,Y,1,186,34
if,Y,Y,N,75,131,0
ig,N,Y,N,0,79,0
ih,N,Y,N,1,24,1
ii,N,N,N,0,1,0
ij,N,Y,N,0,2,0
ik,Y,Y,Y,511,590,32
il,N,Y,N,0,6,0
im,Y,Y,Y,103,415,145
in,Y,Y,Y,86,371,76
io,N,Y,Y,0,237,41
ip,N,Y,Y,0,69,48
iq,N,N,N,0,0,0
ir,Y,Y,Y,2,61,2
is,Y,Y,N,111,293,0
it,Y,Y,Y,102,293,55
iu,N,Y,N,1,3,0
iv,N,N,N,0,0,0
iw,Y,Y,N,40,91,0
iy,Y,Y,N,133,114,0
iz,N,N,N,0,1,0
iŋ,Y,Y,Y,21,135,42
iɔ,N,Y,Y,1,283,2
ja,Y,Y,N,6,2,0
jb,N,N,N,0,0,0
jc,N,N,N,0,0,0
jd,N,N,N,0,0,0
je,Y,N,N,4,0,0
jf,N,N,N,0,0,0
jg,N,N,N,0,0,0
jh,N,N,N,0,0,0
ji,N,N,N,1,0,0
jj,N,N,N,0,0,0
jk,N,N,N,0,0,0
jl,N,N,N,0,0,0
jm,N,N,N,0,0,0
jn,N,N,N,0,0,0
jo,N,N,N,0,0,0
jp,N,N,N,0,0,0
jq,N,N,N,0,0,0
jr,N,N,N,0,0,0
js,N,N,N,0,0,0
jt,N,N,N,0,0,0
ju,N,N,N,0,0,0
jv,N,N,N,0,0,0
jw,N,N,N,0,0,0
jy,N,N,N,0,0,0
jz,N,N,N,0,0,0
jŋ,N,N,N,0,0,0
jɔ,N,N,N,0,0,0
ka,Y,Y,Y,35,612,39
kb,N,N,N,0,1,0
kc,N,N,N,0,1,0
kd,N,Y,N,0,206,0
ke,Y,Y,Y,22,1958,1189
kf,N,N,N,0,0,0
kg,N,N,N,0,0,0
kh,N,Y,N,0,29,0
ki,Y,Y,N,8,97,1
kj,N,N,N,0,0,0
kk,N,Y,N,0,162,0
kl,N,N,N,0,0,0
km,N,N,N,0,0,0
kn,N,N,N,0,0,0
ko,Y,Y,Y,29,480,13
kp,Y,Y,N,42,1157,0
kq,N,N,N,0,0,0
kr,N,Y,N,0,3,0
ks,N,N,N,0,1,1
kt,N,Y,N,0,2,0
ku,Y,Y,Y,115,492,6
kv,N,N,N,0,0,0
kw,Y,Y,N,5,115,0
ky,N,N,N,0,0,0
kz,N,N,N,0,0,0
kŋ,N,Y,N,0,4,0
kɔ,Y,Y,Y,22,430,21
la,Y,Y,N,2,10,0
lb,N,N,N,0,1,0
lc,N,N,N,0,0,0
ld,N,N,N,0,1,0
le,Y,Y,N,4,8,1
lf,N,N,N,0,0,0
lg,N,N,N,0,1,0
lh,N,N,N,0,0,0
li,N,Y,N,1,5,1
lj,N,N,N,0,0,0
lk,N,N,N,0,0,0
ll,N,Y,N,0,2,0
lm,N,Y,N,0,2,1
ln,N,N,N,0,1,0
lo,Y,Y,N,4,3,1
lp,N,N,N,0,1,0
lq,N,N,N,0,0,0
lr,N,N,N,0,0,0
ls,N,N,N,0,0,0
lt,N,N,N,0,0,0
lu,N,N,N,1,1,1
lv,N,N,N,0,0,0
lw,N,N,N,0,0,0
ly,N,N,N,0,0,0
lz,N,N,N,0,0,0
lŋ,N,N,N,0,0,0
lɔ,N,N,N,0,0,0
ma,Y,Y,Y,10,290,62
mb,Y,Y,N,191,15,1
mc,N,N,N,0,0,0
md,Y,Y,N,2,146,0
me,Y,Y,Y,26,785,162
mf,Y,Y,N,82,10,0
mg,N,N,N,0,0,0
mh,N,N,N,0,0,0
mi,Y,Y,Y,410,105,38
mj,N,N,N,0,0,0
mk,Y,Y,N,43,119,1
ml,N,N,N,0,0,0
mm,Y,Y,N,277,19,0
mn,N,N,N,1,1,0
mo,Y,Y,Y,3,209,72
mp,N,N,N,1,0,0
mq,N,N,N,0,0,0
mr,N,Y,N,0,2,0
ms,N,N,N,0,1,0
mt,N,N,N,0,0,0
mu,Y,Y,N,82,57,0
mv,N,N,N,0,0,0
mw,N,N,N,0,0,0
my,N,N,N,1,1,0
mz,N,N,N,0,0,0
mŋ,N,Y,N,0,2,0
mɔ,Y,Y,Y,4,125,21
na,Y,Y,Y,15,452,149
nb,Y,N,N,3,1,0
nc,N,Y,N,0,3,0
nd,Y,Y,N,659,289,1
ne,Y,Y,Y,10,359,122
nf,N,Y,N,0,2,0
ng,N,N,N,0,1,0
nh,N,N,N,0,1,0
ni,Y,Y,Y,3,167,30
nj,N,N,N,0,0,0
nk,Y,Y,N,18,80,0
nl,N,N,N,0,0,0
nm,Y,Y,N,3,4,0
nn,Y,Y,N,85,15,0
no,Y,Y,Y,2,50,28
np,N,N,N,0,0,0
nq,N,N,N,0,0,0
nr,N,Y,N,0,2,0
ns,Y,Y,N,124,18,0
nt,Y,Y,N,106,10,0
nu,Y,Y,N,7,82,1
nv,N,N,N,0,0,0
nw,Y,Y,N,5,12,0
ny,Y,Y,N,249,393,1
nz,N,N,N,0,0,0
nŋ,N,Y,N,0,4,0
nɔ,Y,Y,Y,2,124,63
oa,N,Y,N,0,3,0
ob,Y,Y,Y,65,165,2
oc,N,N,N,0,1,0
od,Y,Y,N,57,231,1
oe,N,Y,N,0,3,0
of,Y,Y,N,45,23,0
og,N,Y,N,0,2,0
oh,N,Y,N,0,45,1
oi,N,Y,Y,0,17,11
oj,N,N,N,0,0,0
ok,Y,Y,Y,342,192,29
ol,N,N,N,0,1,0
om,Y,Y,Y,52,283,91
on,Y,Y,Y,23,181,57
oo,N,N,N,0,0,0
op,N,Y,Y,1,188,96
oq,N,N,N,0,0,0
or,Y,Y,Y,6,213,3
os,Y,Y,N,37,92,0
ot,Y,Y,Y,32,241,103
ou,N,Y,N,0,3,0
ov,N,N,N,1,1,0
ow,Y,Y,N,20,55,1
oy,Y,Y,N,30,31,0
oz,N,Y,N,0,3,1
oŋ,Y,Y,Y,7,62,21
oɔ,N,N,N,0,0,0
pa,Y,Y,Y,4,293,37
pb,N,N,N,0,1,0
pc,N,N,N,0,0,0
pd,N,Y,N,0,96,0
pe,Y,Y,Y,5,392,32
pf,N,N,N,0,0,0
pg,N,N,N,0,0,0
ph,Y,Y,N,5,15,0
pi,Y,Y,Y,3,20,10
pj,N,N,N,0,0,0
pk,N,Y,N,0,86,0
pl,N,N,N,0,1,0
pm,N,N,N,0,0,0
pn,N,N,N,0,1,0
po,Y,Y,Y,4,200,12
pp,N,Y,N,0,5,0
pq,N,N,N,0,0,0
pr,N,Y,N,0,33,0
ps,N,N,N,0,0,0
pt,N,Y,N,0,3,0
pu,N,Y,Y,1,65,8
pv,N,N,N,0,0,0
pw,N,N,N,0,0,0
py,N,N,N,0,0,0
pz,N,N,N,0,0,0
pŋ,N,N,N,0,1,0
