bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,0,12,4
ab,N,Y,N,0,20,1
ac,N,N,N,0,1,0
ad,Y,Y,N,3,19,0
ae,N,N,N,0,0,0
af,N,N,N,0,0,0
ag,Y,Y,N,2,27,0
ah,N,N,N,0,0,0
ai,Y,Y,Y,2,39,21
aj,Y,Y,Y,3,36,4
ak,N,Y,Y,0,47,17
al,Y,Y,Y,6,45,13
am,N,Y,Y,0,25,8
an,Y,Y,Y,4,226,27
ao,N,N,N,0,1,0
ap,N,Y,Y,0,6,2
ar,Y,Y,Y,2,51,17
as,Y,Y,Y,6,19,2
at,N,Y,Y,0,43,8
au,N,N,N,0,0,0
av,N,N,N,0,1,0
aw,Y,Y,Y,2,13,4
ay,N,Y,N,1,7,0
aà,N,N,N,0,0,0
aá,N,N,N,0,0,0
aè,N,N,N,0,0,0
aé,N,N,N,0,0,0
aê,N,N,N,0,0,0
aí,N,N,N,0,0,0
aò,N,N,N,0,0,0
aó,N,N,N,0,0,0
aù,N,N,N,0,0,0
aú,N,N,N,0,0,0
aĝ,N,N,N,0,0,0
aĵ,N,N,N,0,0,0
ań,N,N,N,0,1,1
aŝ,N,N,N,0,0,0
aš,N,N,N,0,0,0
aɓ,N,Y,N,0,2,0
aɔ,N,N,N,0,0,0
aɗ,N,N,N,0,0,0
aḿ,N,N,N,0,0,0
ba,Y,Y,Y,27,36,3
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,5,61,29
bf,N,N,N,0,0,0
bg,N,Y,N,0,2,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,10,28,14
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,Y,N,0,3,1
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,3,11,2
bp,N,N,N,0,0,0
br,N,Y,N,0,7,1
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,13,19,8
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bà,Y,Y,Y,2,2,2
bá,N,N,N,0,1,0
bè,Y,Y,Y,2,2,3
bé,N,N,N,0,0,0
bê,Y,Y,N,6,2,0
bí,N,N,N,0,0,0
bò,Y,N,N,4,0,1
bó,N,N,N,0,0,0
bù,N,N,N,0,0,0
bú,N,N,N,0,0,0
bĝ,N,N,N,0,0,0
bĵ,N,N,N,0,0,0
bń,N,N,N,0,0,0
bŝ,N,N,N,0,0,0
bš,N,N,N,0,0,0
bɓ,N,N,N,0,0,0
bɔ,Y,Y,N,13,7,1
bɗ,N,N,N,0,0,0
bḿ,N,N,N,0,0,0
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,Y,Y,0,27,8
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cà,N,N,N,0,0,0
cá,N,N,N,0,0,0
cè,N,N,N,0,0,0
cé,N,N,N,0,1,0
cê,N,N,N,0,0,0
cí,N,N,N,0,0,0
cò,N,N,N,0,0,0
có,N,N,N,0,0,0
cù,N,N,N,0,0,0
cú,N,N,N,0,0,0
cĝ,N,N,N,0,0,0
cĵ,N,N,N,0,0,0
cń,N,N,N,0,0,0
cŝ,N,N,N,0,0,0
cš,N,N,N,0,0,0
cɓ,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
cɗ,N,N,N,0,0,0
cḿ,N,N,N,0,0,0
da,Y,Y,Y,27,35,6
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,16,85,36
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,10,49,17
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,N,8,31,1
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,7,40,8
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dà,Y,Y,N,2,6,1
dá,N,Y,N,0,6,1
dè,Y,N,N,9,0,1
dé,Y,Y,Y,2,9,9
dê,N,Y,N,0,9,0
dí,N,N,N,0,0,0
dò,Y,N,N,2,0,1
dó,N,Y,Y,0,6,3
dù,N,N,N,0,0,0
dú,N,N,N,0,0,0
dĝ,N,N,N,0,0,0
dĵ,N,N,N,0,0,0
dń,N,N,N,0,0,0
dŝ,N,N,N,0,0,0
dš,N,N,N,0,0,0
dɓ,N,N,N,0,0,0
dɔ,Y,Y,Y,7,23,3
dɗ,N,N,N,0,0,0
dḿ,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,Y,Y,N,2,18,1
ec,N,N,N,0,1,1
ed,Y,Y,N,4,12,0
ee,N,Y,Y,0,33,5
ef,N,N,N,0,0,0
eg,N,Y,N,0,89,1
eh,N,N,N,0,0,0
ei,Y,Y,Y,2,98,67
ej,N,Y,Y,0,13,2
ek,N,Y,Y,0,22,4
el,N,Y,Y,0,36,19
em,N,Y,Y,0,22,8
en,Y,Y,Y,2,55,8
eo,N,N,N,0,0,0
ep,N,N,N,0,0,0
er,Y,Y,Y,2,60,28
es,N,Y,N,0,6,0
et,N,Y,N,1,11,1
eu,N,N,N,0,1,1
ev,N,N,N,0,0,0
ew,N,Y,Y,0,3,3
ey,N,Y,N,0,4,0
eà,N,N,N,0,0,0
eá,N,N,N,0,0,0
eè,N,N,N,0,0,0
eé,N,N,N,0,0,0
eê,N,N,N,0,0,0
eí,N,N,N,0,0,0
eò,N,N,N,0,0,0
eó,N,N,N,0,0,0
eù,N,N,N,0,0,0
eú,N,N,N,0,0,0
eĝ,N,N,N,0,1,0
eĵ,N,Y,Y,0,4,4
eń,N,N,N,0,0,0
eŝ,N,Y,Y,0,4,2
eš,N,N,N,0,0,0
eɓ,N,Y,N,0,3,0
eɔ,N,N,N,0,0,0
eɗ,N,N,N,0,0,0
eḿ,N,N,N,0,0,0
fa,N,N,N,0,0,0
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,N,N,1,0,0
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,N,N,N,0,0,0
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,N,N,0,0,0
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,N,N,N,0,0,0
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fà,N,N,N,0,0,0
fá,N,N,N,0,0,0
fè,N,N,N,0,0,0
fé,N,N,N,0,0,0
fê,N,N,N,0,0,0
fí,N,N,N,0,0,0
fò,N,N,N,0,0,0
fó,N,N,N,0,0,0
fù,N,N,N,0,0,0
fú,N,N,N,0,0,0
fĝ,N,N,N,0,0,0
fĵ,N,N,N,0,0,0
fń,N,N,N,0,0,0
fŝ,N,N,N,0,0,0
fš,N,N,N,0,0,0
fɓ,N,N,N,0,0,0
fɔ,N,N,N,0,0,0
fɗ,N,N,N,0,0,0
fḿ,N,N,N,0,0,0
ga,Y,Y,Y,20,60,2
gb,N,N,N,0,0,0
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,Y,Y,Y,15,414,384
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,Y,Y,Y,22,40,18
gj,N,N,N,0,1,0
gk,N,N,N,0,0,0
gl,N,Y,N,0,6,0
gm,N,Y,Y,0,6,2
gn,N,N,N,0,0,0
go,Y,Y,Y,13,35,10
gp,N,N,N,0,0,0
gr,N,Y,Y,1,7,2
gs,N,N,N,0,0,0
gt,N,Y,N,0,8,1
gu,Y,Y,Y,13,14,2
gv,N,N,N,0,0,0
gw,N,N,N,0,0,0
gy,N,N,N,0,0,0
gà,N,N,N,1,1,0
gá,Y,N,N,2,0,0
gè,N,N,N,0,0,0
gé,Y,Y,Y,3,3,4
gê,N,Y,N,1,4,0
gí,N,N,N,0,0,0
gò,N,N,N,0,0,0
gó,N,Y,Y,0,4,2
gù,N,N,N,1,0,0
gú,N,N,N,0,0,0
gĝ,N,N,N,0,0,0
gĵ,N,N,N,0,0,0
gń,N,N,N,0,0,0
gŝ,N,N,N,0,0,0
gš,N,N,N,0,0,0
gɓ,N,N,N,0,0,0
gɔ,Y,Y,N,13,6,1
gɗ,N,N,N,0,0,0
gḿ,N,N,N,0,0,0
ha,Y,Y,Y,6,14,2
hb,N,N,N,0,0,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,Y,Y,Y,5,5,3
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,N,N,N,0,0,0
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,N,N,N,1,1,0
hp,N,N,N,0,0,0
hr,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,1,0
hu,N,N,N,0,1,0
hv,N,N,N,0,0,0
hw,N,N,N,0,0,0
hy,N,N,N,0,0,0
hà,N,N,N,0,0,0
há,N,N,N,0,1,0
hè,N,N,N,0,0,0
hé,N,N,N,1,0,0
hê,N,N,N,0,1,0
hí,N,N,N,0,0,0
hò,N,N,N,0,0,0
hó,N,N,N,0,0,0
hù,N,N,N,0,0,0
hú,N,N,N,0,0,0
hĝ,N,N,N,0,0,0
hĵ,N,N,N,0,0,0
hń,N,N,N,0,0,0
hŝ,N,N,N,0,0,0
hš,N,N,N,0,0,0
hɓ,N,N,N,0,0,0
hɔ,N,N,N,1,1,0
hɗ,N,N,N,0,0,0
hḿ,N,N,N,0,0,0
ia,N,N,N,0,0,0
ib,N,Y,N,0,15,0
ic,N,N,N,0,0,0
id,N,Y,N,1,7,0
ie,N,Y,N,0,2,0
if,N,N,N,0,0,0
ig,Y,Y,N,2,48,0
ih,N,N,N,0,0,0
ii,N,Y,Y,1,55,55
ij,N,N,N,0,0,0
ik,N,Y,Y,0,17,5
il,Y,Y,Y,6,26,6
im,N,Y,Y,0,7,2
in,Y,Y,Y,7,111,44
io,N,N,N,0,0,0
ip,N,Y,N,0,2,1
ir,N,Y,Y,0,55,15
is,N,Y,N,0,14,1
it,Y,Y,Y,3,14,2
iu,N,N,N,0,0,0
iv,N,N,N,0,1,0
iw,N,Y,Y,0,3,2
iy,N,Y,N,0,10,0
ià,N,N,N,0,0,0
iá,N,N,N,0,0,0
iè,N,N,N,0,0,0
ié,N,N,N,0,0,0
iê,N,N,N,0,0,0
ií,N,N,N,0,0,0
iò,N,N,N,0,0,0
ió,N,N,N,0,0,0
iù,N,N,N,0,0,0
iú,N,N,N,0,0,0
iĝ,N,N,N,0,0,0
iĵ,N,N,N,0,0,0
iń,N,N,N,0,0,0
iŝ,N,N,N,0,0,0
iš,N,N,N,0,0,0
iɓ,N,Y,N,0,3,0
iɔ,N,N,N,0,0,0
iɗ,N,N,N,0,0,0
iḿ,N,N,N,0,0,0
ja,Y,Y,Y,4,22,4
jb,N,N,N,0,0,0
jc,N,N,N,0,0,0
jd,N,N,N,0,0,0
je,Y,Y,Y,3,68,41
jf,N,N,N,0,0,0
jg,N,N,N,0,0,0
jh,N,N,N,0,0,0
ji,Y,Y,Y,14,38,25
jj,N,N,N,0,0,0
jk,N,N,N,0,0,0
jl,N,N,N,0,0,0
jm,N,N,N,0,0,0
jn,N,N,N,0,0,0
jo,Y,Y,Y,2,6,2
jp,N,N,N,0,0,0
jr,N,N,N,0,0,0
js,N,N,N,0,0,0
jt,N,N,N,0,0,0
ju,Y,Y,Y,3,18,12
jv,N,N,N,0,0,0
jw,N,N,N,0,0,0
jy,N,N,N,0,0,0
jà,N,Y,N,0,2,0
já,N,Y,N,1,4,0
jè,Y,Y,Y,4,79,2
jé,Y,Y,Y,5,104,4
jê,Y,Y,N,5,5,0
jí,N,N,N,0,0,0
jò,N,N,N,0,0,0
jó,Y,N,N,2,0,1
jù,N,N,N,0,0,0
jú,N,N,N,0,1,0
jĝ,N,N,N,0,0,0
jĵ,N,N,N,0,0,0
jń,N,N,N,0,0,0
jŝ,N,N,N,0,0,0
jš,N,N,N,0,0,0
jɓ,N,N,N,0,0,0
jɔ,Y,Y,N,7,2,0
jɗ,N,N,N,0,0,0
jḿ,N,N,N,0,0,0
