bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,N,0,4,1
ab,Y,Y,N,9,25,0
ac,Y,Y,N,4,45,0
ad,Y,Y,N,11,19,0
ae,N,N,N,0,0,0
af,Y,Y,N,3,9,0
ag,Y,Y,Y,13,42,2
ah,Y,N,N,2,1,0
ai,N,Y,Y,0,200,188
aj,Y,Y,N,5,15,0
ak,Y,Y,N,16,100,1
al,Y,Y,N,14,93,0
am,Y,Y,Y,15,140,4
an,Y,Y,Y,4,340,47
ao,N,N,N,0,0,0
ap,Y,Y,N,6,50,0
ar,Y,Y,N,5,68,1
as,Y,Y,N,20,83,0
at,Y,Y,N,17,97,0
au,N,Y,Y,0,17,2
av,Y,Y,N,4,22,1
aw,Y,Y,N,11,84,0
ay,Y,Y,N,5,23,1
az,Y,Y,N,8,11,0
aɓ,Y,Y,N,5,31,0
aɗ,N,Y,N,1,51,0
aꞌ,Y,Y,N,23,6,0
ba,Y,Y,Y,17,148,25
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,2,22,6
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,10,31,15
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,10,40,5
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,7,48,9
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bɓ,N,N,N,0,0,0
bɗ,N,N,N,0,0,0
bꞌ,N,N,N,0,0,0
ca,Y,Y,Y,11,18,3
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,Y,Y,Y,2,26,9
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,0,0,0
ci,Y,Y,Y,29,72,32
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,Y,Y,Y,4,7,2
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,Y,N,1,8,1
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cɓ,N,N,N,0,0,0
cɗ,N,N,N,0,0,0
cꞌ,N,N,N,0,0,0
da,Y,Y,Y,19,36,11
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,8,11,2
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,N,Y,Y,1,16,8
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,7,21,6
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,6,16,5
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dy,N,Y,N,0,19,0
dz,N,N,N,0,0,0
dɓ,N,N,N,0,0,0
dɗ,N,N,N,0,0,0
dꞌ,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,N,Y,N,0,12,0
ec,N,Y,N,0,41,0
ed,N,N,N,0,0,0
ee,N,N,N,0,0,0
ef,N,N,N,0,0,0
eg,N,Y,N,0,2,0
eh,N,N,N,0,0,0
ei,N,Y,Y,0,40,40
ej,N,N,N,0,0,0
ek,Y,Y,N,4,10,0
el,N,Y,N,1,31,0
em,N,Y,N,0,13,1
en,N,Y,Y,1,77,14
eo,N,N,N,0,0,0
ep,N,N,N,0,0,0
er,N,Y,N,1,18,1
es,N,Y,N,0,33,0
et,N,Y,N,0,13,0
eu,N,N,N,0,0,0
ev,N,Y,N,1,6,0
ew,N,Y,N,0,3,0
ey,N,N,N,1,1,0
ez,N,N,N,0,0,0
eɓ,N,Y,N,0,10,0
eɗ,N,Y,N,1,4,0
eꞌ,N,N,N,0,0,0
fa,N,Y,Y,0,7,3
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,N,N,0,0,0
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,N,N,N,0,1,0
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,Y,Y,N,17,10,0
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,4,8,2
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fz,N,N,N,0,0,0
fɓ,N,N,N,0,0,0
fɗ,N,N,N,0,0,0
fꞌ,N,N,N,0,0,0
ga,Y,Y,Y,23,73,30
gb,Y,Y,N,34,118,0
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,Y,Y,Y,6,14,7
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,N,Y,Y,0,66,56
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,N,N,0,0,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,Y,Y,Y,15,27,13
gp,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,Y,Y,Y,8,95,46
gv,N,N,N,0,0,0
gw,N,N,N,0,0,0
gy,N,N,N,1,1,0
gz,N,N,N,0,0,0
gɓ,N,N,N,0,0,0
gɗ,N,N,N,0,0,0
gꞌ,N,N,N,0,0,0
ha,Y,Y,Y,2,46,6
hb,N,N,N,0,0,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,N,Y,Y,0,47,26
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,N,Y,Y,0,115,58
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,N,N,N,0,0,0
hp,N,N,N,0,0,0
hr,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,N,Y,N,0,17,0
hv,N,N,N,0,0,0
hw,N,N,N,0,0,0
