bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,N,N,0,0,0
ac,Y,Y,Y,24,268,61
ae,N,N,N,0,1,0
af,N,N,N,0,1,0
ai,N,N,N,0,0,0
ak,Y,Y,Y,51,473,164
al,Y,Y,Y,15,241,38
am,Y,Y,Y,25,168,44
an,Y,Y,Y,19,628,75
ao,Y,N,N,2,0,0
ap,Y,Y,Y,24,466,352
ar,Y,Y,Y,37,209,20
as,Y,Y,Y,33,190,21
at,Y,Y,Y,28,387,130
au,N,N,N,0,1,0
aw,Y,Y,N,17,59,0
ay,Y,Y,Y,29,355,103
aä,N,N,N,0,0,0
aë,N,N,N,0,0,0
aö,N,N,N,0,0,0
aü,N,N,N,0,0,0
aŋ,Y,Y,Y,36,129,4
ca,Y,Y,Y,20,73,20
cc,N,N,N,0,0,0
ce,Y,Y,Y,566,798,123
cf,N,N,N,0,0,0
ci,Y,Y,Y,256,870,334
ck,N,Y,N,0,36,0
cl,N,Y,N,0,3,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,Y,Y,Y,121,231,47
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,Y,N,0,4,0
cu,Y,Y,Y,13,123,55
cw,N,Y,N,0,8,0
cy,N,N,N,0,0,0
cä,Y,Y,N,10,62,0
cë,Y,Y,Y,2,2,2
cö,Y,Y,N,25,49,0
cü,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
ea,N,N,N,0,1,0
ec,N,Y,Y,1,739,452
ee,N,N,N,0,0,0
ef,N,N,N,0,0,0
ei,N,Y,N,0,2,0
ek,N,Y,Y,0,1137,255
el,Y,Y,Y,2,134,20
em,N,Y,Y,0,359,35
en,N,Y,Y,0,794,94
eo,N,N,N,0,0,0
ep,N,Y,Y,0,318,13
er,Y,Y,Y,4,588,55
es,N,Y,Y,0,331,3
et,N,Y,Y,1,1147,499
eu,N,N,N,0,0,0
ew,N,Y,N,0,139,1
ey,N,Y,Y,0,1080,738
eä,N,N,N,0,0,0
eë,N,N,N,0,0,0
eö,N,N,N,0,0,0
eü,N,N,N,0,0,0
eŋ,N,Y,N,0,126,0
fa,N,N,N,0,1,1
fc,N,N,N,0,0,0
fe,N,N,N,0,0,0
ff,N,N,N,0,0,0
fi,N,Y,N,1,3,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,N,N,0,0,0
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,N,2,4,0
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
fä,N,N,N,0,0,0
fë,N,N,N,0,0,0
fö,N,N,N,0,0,0
fü,N,N,N,0,0,0
fŋ,N,N,N,0,0,0
ia,N,N,N,0,0,0
ic,Y,Y,Y,2,578,17
ie,N,Y,Y,0,3,2
if,N,Y,N,0,3,0
ii,N,N,N,0,0,0
ik,Y,Y,Y,3,929,155
il,Y,Y,Y,4,336,61
im,N,Y,Y,0,266,38
in,N,Y,Y,0,837,125
io,N,Y,Y,0,3,2
ip,Y,Y,Y,3,284,22
ir,N,Y,Y,0,309,35
is,N,Y,Y,1,730,160
it,N,Y,Y,1,714,147
iu,N,N,N,0,0,0
iw,Y,Y,Y,3,135,4
iy,Y,Y,Y,10,529,67
iä,N,N,N,0,0,0
ië,N,N,N,0,0,0
iö,N,N,N,0,0,0
iü,N,N,N,0,0,0
iŋ,N,Y,Y,0,289,195
ka,Y,Y,Y,451,418,6
kc,N,N,N,0,0,0
ke,Y,Y,Y,246,1100,33
kf,N,N,N,0,0,0
ki,Y,Y,Y,1211,422,2
kk,N,N,N,0,1,0
kl,N,N,N,0,0,0
km,N,N,N,0,0,0
kn,N,Y,N,0,2,0
ko,Y,Y,Y,880,969,11
kp,N,N,N,0,0,0
kr,Y,N,N,2,0,0
ks,N,Y,N,0,8,0
kt,N,Y,N,0,185,0
ku,Y,Y,Y,1568,1506,93
kw,Y,Y,N,301,733,0
ky,Y,Y,N,209,512,1
kä,Y,Y,N,3,115,0
kë,N,N,N,0,0,0
kö,Y,Y,N,4,44,0
kü,N,N,N,0,0,0
kŋ,N,N,N,0,0,0
la,Y,Y,Y,25,181,6
lc,N,Y,N,0,6,0
le,Y,Y,Y,47,272,120
lf,N,N,N,0,0,0
li,Y,Y,Y,6,237,8
lk,N,Y,N,0,31,0
ll,N,N,N,0,0,0
lm,N,Y,N,0,3,0
ln,N,N,N,0,1,0
lo,Y,Y,Y,33,215,4
lp,N,N,N,0,1,0
lr,N,N,N,0,0,0
ls,N,Y,N,0,6,0
lt,N,Y,N,0,7,0
lu,Y,Y,Y,14,70,6
lw,N,Y,N,0,30,0
ly,N,Y,N,1,238,0
lä,N,N,N,0,0,0
lë,N,N,N,0,0,0
lö,N,N,N,1,0,1
lü,N,N,N,0,0,0
lŋ,N,N,N,0,0,0
ma,Y,Y,Y,55,107,21
mc,N,Y,N,0,5,0
me,Y,Y,Y,102,240,90
mf,N,N,N,0,0,0
mi,Y,Y,N,35,236,1
mk,N,Y,N,0,2,0
ml,N,N,N,0,0,0
mm,N,N,N,0,0,0
mn,Y,Y,N,20,220,0
mo,Y,Y,Y,876,201,30
mp,Y,Y,N,21,20,0
mr,N,N,N,0,0,0
ms,N,Y,N,0,13,0
mt,Y,Y,N,2,13,0
mu,Y,Y,Y,173,310,19
mw,Y,Y,N,59,399,0
my,N,N,N,0,0,0
mä,N,Y,N,0,5,0
më,N,N,N,0,0,0
mö,Y,Y,N,3,21,0
mü,Y,Y,N,3,41,0
mŋ,N,N,N,0,0,0
na,Y,Y,Y,5,140,23
nc,N,Y,N,0,108,0
ne,Y,Y,Y,18,671,264
nf,Y,N,N,3,0,0
ni,N,Y,Y,0,713,384
nk,Y,Y,N,21,1347,1
nl,N,N,N,0,0,0
nm,N,Y,N,0,6,0
nn,N,Y,N,0,18,0
no,Y,Y,Y,7,373,55
np,N,N,N,0,0,0
nr,N,N,N,0,0,0
ns,N,Y,N,0,5,0
nt,Y,Y,Y,51,786,3
nu,Y,Y,Y,5,145,30
nw,N,Y,N,1,37,0
ny,Y,Y,Y,87,823,171
nä,N,Y,N,1,52,0
në,N,N,N,0,0,0
nö,Y,Y,N,7,26,0
nü,N,Y,N,0,2,0
nŋ,N,Y,N,0,11,0
oa,N,N,N,0,1,0
oc,Y,Y,Y,20,542,19
oe,N,N,N,0,1,1
of,N,N,N,0,0,0
oi,N,N,N,0,0,0
ok,Y,Y,Y,71,1641,472
ol,Y,Y,Y,19,334,25
om,Y,Y,Y,70,557,29
on,Y,Y,Y,38,1052,40
oo,N,N,N,0,0,0
op,Y,Y,Y,60,418,39
or,Y,Y,Y,34,842,80
os,Y,Y,Y,55,981,80
ot,Y,Y,Y,54,774,98
