bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,99,619,10
ab,Y,Y,Y,3,73,4
ac,N,Y,Y,0,13,4
ad,N,Y,Y,0,7,2
ae,N,N,N,0,0,0
ag,N,Y,Y,0,75,4
ai,Y,Y,Y,2,8,5
aj,Y,Y,Y,6,46,3
ak,Y,Y,Y,3,119,16
al,Y,Y,Y,6,93,13
am,Y,Y,Y,5,85,10
an,Y,Y,Y,10,79,15
ao,N,N,N,0,1,1
ap,N,Y,Y,0,71,7
ar,N,Y,Y,1,178,18
as,Y,Y,Y,6,54,5
at,Y,Y,Y,2,49,6
au,N,N,N,0,0,0
aw,N,Y,N,1,6,0
ay,N,Y,Y,0,40,12
az,N,N,N,0,1,0
aŋ,N,Y,Y,1,73,13
aƴ,N,N,N,0,0,0
aɓ,N,N,N,0,1,0
aɔ,N,N,N,0,0,0
aɗ,Y,Y,Y,5,82,6
aɛ,N,N,N,0,1,0
ba,Y,Y,Y,46,44,5
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,N,N,4,1,0
bg,N,Y,N,0,20,0
bi,Y,Y,Y,21,16,9
bj,N,Y,N,0,16,0
bk,N,Y,N,1,6,0
bl,N,N,N,0,0,0
bm,N,Y,Y,0,22,21
bn,N,N,N,0,0,0
bo,Y,Y,Y,13,7,4
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,Y,N,0,14,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,30,19,4
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bƴ,N,N,N,0,0,0
bɓ,N,N,N,0,0,0
bɔ,Y,Y,Y,33,7,2
bɗ,N,Y,N,1,23,0
bɛ,Y,Y,N,31,2,1
ca,Y,Y,Y,2,2,2
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,Y,Y,0,4,4
cg,N,Y,N,0,7,0
ci,Y,Y,Y,21,4,2
cj,N,Y,N,0,2,0
ck,N,Y,N,0,3,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,Y,N,0,2,1
co,N,Y,Y,1,8,6
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,Y,N,0,3,0
ct,N,N,N,0,0,0
cu,N,Y,N,0,4,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
cƴ,N,N,N,0,0,0
cɓ,N,N,N,0,0,0
cɔ,Y,Y,Y,6,5,4
cɗ,N,Y,N,0,8,0
cɛ,Y,Y,Y,28,5,2
da,Y,Y,Y,93,5,3
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,Y,N,0,3,0
de,Y,N,N,32,0,1
dg,N,Y,N,0,11,0
di,Y,Y,Y,15,14,11
dj,N,Y,N,0,6,0
dk,N,Y,N,0,11,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,Y,Y,0,2,2
do,Y,Y,Y,37,5,5
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,Y,N,0,8,0
dt,N,N,N,0,0,0
du,Y,Y,Y,63,19,4
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
dƴ,N,N,N,0,0,0
dɓ,N,N,N,0,0,0
dɔ,Y,Y,Y,40,5,3
dɗ,N,Y,N,0,21,0
dɛ,Y,Y,Y,45,4,3
ea,N,Y,Y,0,2,2
eb,N,Y,N,0,19,1
ec,N,Y,Y,0,16,2
ed,N,N,N,0,0,0
ee,Y,Y,Y,12,128,2
eg,Y,Y,N,5,260,0
ei,N,Y,Y,0,5,2
ej,N,Y,N,0,7,0
ek,N,Y,N,0,127,1
el,N,Y,N,0,29,1
