bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,N,799,4199,0
ab,Y,Y,N,12,32,0
ac,Y,Y,N,14,120,0
ad,Y,Y,N,33,264,0
ae,N,N,N,0,0,0
af,N,Y,N,0,7,0
ag,Y,Y,N,7,54,0
ah,Y,Y,N,351,984,0
ai,N,Y,N,1,2,0
aj,N,N,N,0,0,0
ak,Y,Y,N,172,2374,0
al,Y,Y,N,63,2085,0
am,Y,Y,N,250,1774,0
an,Y,Y,N,776,2976,0
ao,N,Y,N,0,2,0
ap,Y,Y,N,61,712,0
ar,Y,Y,N,44,842,0
as,Y,Y,N,33,184,0
at,Y,Y,N,101,1255,1
au,N,N,N,0,0,0
av,Y,Y,N,87,797,0
aw,Y,Y,N,207,1189,0
ay,Y,Y,N,36,488,0
az,N,Y,N,0,7,0
ba,Y,Y,Y,2,182,59
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,2,92,16
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,N,Y,Y,0,106,4
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,N,Y,Y,0,32,2
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,N,8,32,0
bv,N,N,N,0,0,0
bw,N,Y,N,0,7,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,N,2,418,0
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
da,N,Y,Y,0,567,159
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,Y,Y,N,786,870,0
de,N,Y,Y,0,215,45
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,N,Y,Y,0,555,9
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,Y,Y,0,388,75
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,N,Y,Y,0,274,3
dv,N,N,N,0,0,0
dw,N,Y,N,0,18,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,N,Y,N,1,3,0
ec,Y,Y,N,94,5,0
ed,Y,Y,N,21,22,0
ee,Y,Y,Y,49,2960,2
ef,N,Y,N,0,2,0
eg,Y,Y,N,2,2,0
eh,Y,Y,N,194,179,0
ei,N,N,N,0,0,0
ej,N,N,N,0,0,0
ek,Y,Y,N,135,898,0
el,Y,Y,N,44,3415,0
em,Y,Y,N,175,361,0
en,Y,Y,N,860,1254,0
eo,N,N,N,0,0,0
ep,Y,Y,N,49,43,0
er,Y,Y,N,39,1883,0
es,Y,Y,N,12,232,0
et,Y,Y,N,71,228,0
eu,N,N,N,0,0,0
ev,Y,Y,N,45,154,0
