bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,0,6145,2
ab,Y,Y,N,1694,3516,1
ac,N,Y,N,0,6,0
ad,Y,Y,N,22,574,0
ae,N,N,N,0,0,0
af,Y,Y,N,61,550,0
ag,Y,Y,N,369,2604,0
ai,N,N,N,1,1,1
aj,Y,Y,N,19,288,0
ak,Y,Y,N,468,4328,1
al,Y,Y,N,770,5159,1
am,Y,Y,N,400,3766,0
an,Y,Y,N,726,8459,0
ao,N,N,N,0,0,0
ap,Y,Y,N,3,26,0
ar,N,Y,N,0,4,0
as,Y,Y,N,203,2131,0
at,Y,Y,N,360,2674,0
au,N,N,N,0,0,0
av,Y,Y,N,20,363,0
aw,Y,Y,N,163,2217,0
ay,Y,Y,N,122,1849,0
az,Y,Y,N,83,1155,0
aŋ,Y,Y,N,3,49,0
ba,Y,Y,Y,4563,6470,1310
bb,Y,Y,N,25,122,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,259,1346,225
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bi,Y,Y,Y,868,2613,116
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,53,518,108
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,612,2004,43
bv,N,N,N,0,0,0
bw,Y,Y,N,256,2844,0
by,Y,Y,N,255,630,0
bz,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
ca,N,Y,Y,0,8,6
cb,N,N,N,0,0,0
cc,N,Y,N,1,8,0
cd,N,N,N,0,0,0
ce,N,N,N,0,1,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,Y,N,0,7,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,Y,N,0,5,0
cv,N,N,N,0,0,0
cw,N,N,N,0,1,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
da,Y,Y,Y,3,764,390
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
