bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,1226,3489,703
ab,Y,Y,Y,36,426,4
ac,N,N,N,0,0,0
ad,Y,Y,Y,40,398,2
ae,Y,Y,Y,13,171,109
af,N,Y,N,1,12,0
ag,Y,Y,Y,20,390,36
ah,N,Y,N,0,7,0
ai,Y,Y,Y,913,3425,424
aj,Y,Y,Y,16,204,7
ak,Y,Y,Y,32,2881,253
al,Y,Y,Y,63,1190,113
am,Y,Y,Y,47,942,69
an,Y,Y,Y,52,2183,257
ao,Y,Y,Y,21,103,7
ap,Y,Y,Y,56,866,51
ar,Y,Y,Y,102,2213,79
as,Y,Y,Y,99,1520,97
at,Y,Y,Y,286,2213,251
au,Y,Y,Y,19,262,85
aw,Y,Y,N,9,128,0
ay,Y,Y,N,34,1110,1
ba,Y,Y,Y,27,689,62
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,9,215,3
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,11,385,17
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,1,0
bm,N,N,N,0,0,0
bn,N,N,N,0,1,0
bo,Y,Y,Y,9,495,15
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,6,409,11
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,Y,N,1,361,1
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
da,Y,Y,Y,12,556,26
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,7,129,16
df,N,N,N,0,0,0
dg,N,N,N,0,1,0
dh,N,N,N,0,0,0
di,Y,Y,Y,9,357,21
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,11,642,49
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,9,624,56
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
ea,Y,Y,Y,46,93,3
eb,Y,Y,N,44,154,1
ec,N,Y,N,0,4,0
ed,Y,Y,Y,48,247,18
ee,Y,Y,Y,32,318,15
ef,N,Y,N,1,6,1
eg,Y,Y,N,22,167,0
eh,N,Y,N,0,3,0
ei,Y,Y,Y,1204,2527,100
ej,Y,Y,Y,17,371,38
ek,Y,Y,Y,133,1181,81
el,Y,Y,Y,99,743,39
em,Y,Y,Y,364,1181,64
en,Y,Y,Y,1719,1672,136
eo,Y,Y,Y,43,70,2
ep,Y,Y,Y,57,469,46
er,Y,Y,Y,147,896,49
es,Y,Y,Y,177,577,12
et,Y,Y,Y,536,1564,213
eu,Y,Y,Y,30,290,117
ew,Y,Y,N,21,128,0
ey,Y,Y,N,81,363,0
fa,N,Y,Y,1,10,2
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,Y,N,0,5,0
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,N,Y,Y,1,12,4
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,N,N,0,1,0
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,N,Y,Y,1,6,3
fw,N,N,N,0,0,0
fy,N,N,N,0,0,0
ga,Y,Y,Y,5,206,40
gb,N,N,N,0,0,0
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,Y,Y,Y,6,257,8
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,Y,Y,Y,10,458,19
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,N,N,0,1,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,Y,Y,Y,8,460,28
gp,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,1,0
gu,Y,Y,Y,5,327,22
gw,N,N,N,0,0,0
gy,N,N,N,0,0,0
ha,Y,Y,Y,19,575,106
hb,N,N,N,0,1,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,Y,Y,Y,5,469,130
hf,N,N,N,0,0,0
hg,N,N,N,0,1,0
hh,N,N,N,0,0,0
hi,Y,Y,Y,5,630,77
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,Y,Y,Y,6,1646,801
hp,N,N,N,0,0,0
hr,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,Y,Y,Y,2,459,78
hw,N,N,N,0,0,0
hy,N,N,N,0,0,0
ia,Y,Y,Y,29,1327,262
ib,Y,Y,N,14,644,1
ic,N,Y,N,0,3,0
id,Y,Y,Y,23,652,9
ie,Y,Y,Y,15,2055,1372
if,N,Y,N,0,6,0
ig,Y,Y,Y,16,571,19
ih,N,N,N,0,1,0
ii,Y,Y,Y,23,184,69
ij,Y,Y,Y,10,223,10
ik,Y,Y,Y,15,3426,131
il,Y,Y,Y,632,1154,131
im,Y,Y,Y,131,1364,112
in,Y,Y,Y,617,3423,183
io,Y,Y,Y,21,1058,214
ip,Y,Y,Y,26,1181,92
ir,Y,Y,Y,95,2225,135
is,Y,Y,Y,157,3488,50
it,Y,Y,Y,141,4687,73
iu,Y,Y,Y,15,340,132
iw,Y,Y,N,13,271,0
iy,Y,Y,N,64,438,0
ja,Y,Y,Y,2,190,65
jb,N,N,N,0,0,0
jc,N,N,N,0,0,0
jd,N,N,N,0,0,0
je,Y,Y,Y,3,110,9
jf,N,N,N,0,0,0
jg,N,N,N,0,0,0
jh,N,N,N,0,0,0
ji,N,Y,Y,0,267,71
jj,N,N,N,0,0,0
jk,N,N,N,0,0,0
jl,N,N,N,0,0,0
jm,N,N,N,0,0,0
jn,N,N,N,0,0,0
jo,Y,Y,Y,3,335,111
jp,N,N,N,0,0,0
jr,N,N,N,0,0,0
js,N,N,N,0,0,0
jt,N,N,N,0,0,0
ju,N,Y,Y,1,186,43
jw,N,N,N,0,0,0
jy,N,N,N,0,0,0
ka,Y,Y,Y,477,1098,316
kb,N,N,N,0,0,0
kc,N,N,N,0,0,0
kd,N,N,N,0,0,0
ke,Y,Y,Y,909,735,36
kf,N,N,N,0,0,0
kg,N,N,N,0,0,0
kh,N,N,N,0,0,0
ki,Y,Y,Y,736,6885,3205
kj,N,N,N,0,0,0
kk,N,N,N,0,0,0
kl,N,N,N,0,0,0
km,N,N,N,0,0,0
kn,N,N,N,0,0,0
ko,Y,Y,Y,30,995,231
kp,N,N,N,0,0,0
kr,N,Y,N,1,2,0
ks,N,Y,Y,0,2,2
kt,N,N,N,0,1,0
ku,Y,Y,Y,58,1547,334
kw,N,Y,N,0,2,0
ky,N,N,N,0,0,0
la,Y,Y,Y,419,1552,211
lb,Y,Y,N,28,46,0
lc,Y,Y,N,16,34,0
ld,Y,Y,N,13,53,0
le,Y,Y,Y,205,838,43
lf,Y,Y,N,2,3,0
lg,Y,Y,N,17,29,0
lh,N,Y,N,0,2,0
li,Y,Y,Y,364,1174,145
lj,Y,Y,N,3,2,0
lk,Y,Y,N,111,169,0
ll,N,N,N,1,0,0
lm,Y,Y,N,60,111,0
ln,Y,Y,N,9,15,0
lo,Y,Y,Y,210,1336,259
lp,Y,Y,N,35,41,0
lr,N,N,N,1,0,0
ls,Y,N,N,2,0,0
lt,Y,Y,N,49,75,0
lu,Y,Y,Y,16,686,191
lw,Y,Y,N,4,9,0
ly,N,Y,N,1,3,0
ma,Y,Y,Y,404,1150,157
mb,Y,Y,N,63,208,0
mc,N,N,N,1,0,0
md,N,N,N,1,0,0
me,Y,Y,Y,852,961,44
mf,N,N,N,0,0,0
mg,N,N,N,0,0,0
mh,N,N,N,0,0,0
mi,Y,Y,Y,416,1132,93
mj,N,N,N,0,0,0
mk,N,N,N,0,0,0
ml,N,N,N,0,0,0
mm,N,Y,N,1,2,1
mn,N,N,N,0,0,0
mo,Y,Y,Y,51,532,58
mp,Y,Y,N,71,237,0
mr,N,N,N,0,1,0
ms,N,N,N,0,0,0
mt,N,N,N,0,1,0
mu,Y,Y,Y,50,771,159
mw,N,N,N,0,0,0
my,N,N,N,0,1,0
na,Y,Y,Y,2584,1681,356
nb,N,N,N,1,0,0
nc,Y,Y,N,61,242,0
nd,Y,Y,N,53,167,0
ne,Y,Y,Y,2859,675,117
nf,N,N,N,0,0,0
ng,Y,Y,Y,54,696,394
nh,N,N,N,0,0,0
ni,Y,Y,Y,1732,1989,1120
nj,Y,Y,N,12,12,0
nk,Y,Y,N,558,900,1
nl,N,N,N,0,0,0
nm,N,N,N,0,1,0
nn,N,N,N,1,1,0
no,Y,Y,Y,12,1680,654
np,N,N,N,0,0,0
nr,N,N,N,0,0,0
ns,N,N,N,0,0,0
nt,Y,Y,N,206,1051,0
nu,Y,Y,Y,3,348,153
nw,N,N,N,0,0,0
ny,Y,Y,Y,25,2415,208
oa,Y,Y,N,28,36,0
ob,Y,Y,Y,25,345,8
oc,N,N,N,0,0,0
od,Y,Y,Y,24,336,14
oe,Y,Y,Y,17,18,5
of,N,Y,N,0,4,0
og,Y,Y,N,17,94,1
oh,N,N,N,0,0,0
oi,Y,Y,Y,522,1386,295
oj,Y,Y,Y,12,59,7
ok,Y,Y,Y,23,1857,294
ol,Y,Y,Y,965,1167,135
om,Y,Y,Y,74,399,15
on,Y,Y,Y,58,1232,148
oo,Y,Y,Y,954,1310,440
op,Y,Y,Y,43,397,32
or,Y,Y,Y,85,2383,177
os,Y,Y,Y,125,705,67
ot,Y,Y,Y,243,1726,213
ou,Y,Y,Y,11,156,63
ow,Y,Y,N,9,64,0
oy,Y,Y,N,37,517,1
pa,Y,Y,Y,17,886,205
pb,N,N,N,0,0,0
pc,N,N,N,0,0,0
pd,N,N,N,0,0,0
pe,Y,Y,Y,19,317,42
pf,N,N,N,0,0,0
pg,N,N,N,0,0,0
ph,N,N,N,0,0,0
pi,Y,Y,Y,21,737,67
pj,N,N,N,0,0,0
pk,N,N,N,0,0,0
pl,N,N,N,0,1,0
pm,N,N,N,0,0,0
pn,N,N,N,0,0,0
po,Y,Y,Y,15,737,79
pp,N,N,N,0,0,0
pr,N,N,N,1,0,0
ps,N,N,N,0,0,0
pt,N,N,N,0,0,0
pu,Y,Y,Y,14,831,94
pw,N,N,N,0,0,0
py,N,N,N,0,0,0
ra,Y,Y,Y,12,1812,389
rb,N,Y,N,0,11,0
rc,N,N,N,0,0,0
rd,N,Y,Y,0,141,6
re,Y,Y,Y,11,1722,923
rf,N,N,N,0,0,0
rg,N,Y,N,0,9,0
rh,N,N,N,0,0,0
ri,Y,Y,Y,16,2571,626
rj,N,Y,Y,0,18,5
rk,N,Y,N,0,55,0
rl,N,Y,N,0,21,0
rm,N,Y,N,0,13,0
rn,N,Y,Y,0,49,12
ro,Y,Y,Y,10,1278,286
rp,N,Y,N,0,5,0
rr,Y,Y,Y,31,1958,14
rs,N,Y,N,0,18,0
rt,N,Y,Y,0,91,6
ru,Y,Y,Y,5,1361,300
rw,N,N,N,0,0,0
ry,N,N,N,0,0,0
sa,Y,Y,Y,47,816,179
sb,N,N,N,0,0,0
sc,N,N,N,0,0,0
sd,N,N,N,0,0,0
se,Y,Y,Y,35,253,6
sf,N,N,N,0,0,0
sg,N,N,N,0,0,0
sh,Y,Y,Y,58,3517,207
si,Y,Y,Y,81,1574,98
sj,N,N,N,0,0,0
sk,N,N,N,0,0,0
sl,N,N,N,0,0,0
sm,N,N,N,0,1,0
sn,N,N,N,0,1,0
so,Y,Y,Y,15,265,46
sp,N,N,N,0,1,0
sr,N,N,N,0,0,0
ss,N,N,N,0,1,0
st,N,Y,N,0,9,1
su,Y,Y,Y,40,671,39
sw,N,N,N,0,0,0
sy,N,N,N,0,0,0
ta,Y,Y,Y,132,4597,1239
tb,N,N,N,0,0,0
tc,N,N,N,0,0,0
td,N,N,N,0,1,0
te,Y,Y,Y,453,959,253
tf,N,N,N,0,0,0
tg,N,N,N,0,0,0
th,N,N,N,0,0,0
ti,Y,Y,Y,171,1870,265
tj,N,N,N,0,0,0
tk,N,N,N,0,0,0
tl,N,N,N,0,0,0
tm,N,N,N,0,0,0
tn,N,N,N,0,0,0
to,Y,Y,Y,89,3029,912
tp,N,N,N,0,0,0
tr,N,N,N,0,0,0
ts,N,N,N,0,0,0
tt,N,N,N,0,1,0
tu,Y,Y,Y,86,2261,296
tw,N,N,N,0,0,0
ty,N,N,N,0,0,0
ua,N,Y,Y,1,1552,536
ub,N,Y,Y,1,186,2
uc,N,N,N,0,0,0
ud,N,Y,Y,0,216,3
ue,N,Y,Y,0,227,2
uf,N,N,N,0,0,0
ug,N,Y,Y,1,105,10
uh,N,N,N,0,0,0
ui,N,Y,Y,0,83,54
uj,N,Y,Y,0,232,46
uk,N,Y,Y,0,1109,131
ul,N,Y,Y,0,563,65
um,Y,Y,Y,2,667,72
un,Y,Y,Y,3,1572,29
uo,N,Y,Y,0,727,424
up,N,Y,Y,1,281,25
ur,N,Y,Y,1,1418,123
us,Y,Y,Y,3,454,38
ut,Y,Y,Y,4,898,109
uu,N,Y,Y,0,137,26
uw,N,Y,N,0,15,0
uy,N,Y,Y,0,117,4
wa,Y,Y,Y,5,324,29
wb,N,N,N,0,0,0
wc,N,N,N,0,0,0
wd,N,N,N,0,0,0
we,N,Y,N,1,3,1
wf,N,N,N,0,0,0
wg,N,N,N,0,0,0
wh,N,N,N,0,0,0
wi,Y,Y,Y,2,9,7
wj,N,N,N,0,0,0
wk,N,N,N,0,0,0
wl,N,N,N,0,0,0
wm,N,N,N,0,0,0
wn,N,N,N,0,0,0
wo,Y,Y,N,5,13,1
wp,N,N,N,0,0,0
wr,N,N,N,0,0,0
ws,N,N,N,0,0,0
wt,N,N,N,0,0,0
wu,Y,Y,Y,12,324,17
ww,N,N,N,0,0,0
wy,N,N,N,0,0,0
ya,Y,Y,Y,11,1302,378
yb,N,N,N,0,0,0
yc,N,N,N,0,0,0
yd,N,N,N,0,0,0
ye,Y,Y,Y,10,658,514
yf,N,N,N,0,0,0
yg,N,N,N,0,0,0
yh,N,N,N,0,0,0
yi,Y,Y,Y,14,1758,84
yj,N,N,N,0,0,0
yk,N,N,N,0,0,0
yl,N,N,N,0,0,0
ym,N,N,N,0,0,0
yn,N,N,N,0,0,0
yo,N,Y,Y,0,556,156
yp,N,N,N,0,0,0
yr,N,N,N,0,0,0
ys,N,N,N,0,0,0
yt,N,N,N,0,0,0
yu,N,Y,Y,1,740,478
yw,N,N,N,0,0,0
yy,N,N,N,0,0,0
