bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,21,424,22
ab,N,N,N,0,0,0
ac,Y,Y,N,52,350,0
ad,N,N,N,0,0,0
ae,N,Y,Y,0,566,2
af,Y,Y,N,14,305,0
ag,N,N,N,0,1,0
ah,Y,Y,N,13,213,0
ai,Y,Y,Y,23,453,40
aj,Y,Y,N,36,506,0
ak,Y,Y,N,1731,9991,1
al,Y,Y,N,435,4290,0
am,Y,Y,N,224,4904,0
an,Y,Y,N,265,7113,0
ao,N,Y,Y,1,247,240
ap,Y,Y,N,37,819,0
as,Y,Y,N,135,2300,0
at,Y,Y,N,157,3221,0
au,Y,Y,Y,14,309,20
av,Y,Y,N,229,3230,0
aw,Y,Y,N,39,432,0
ay,Y,Y,N,37,403,0
az,Y,Y,N,35,740,0
ba,N,Y,Y,0,679,246
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,N,Y,Y,0,654,53
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,N,Y,Y,0,292,37
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,N,Y,Y,0,204,69
bp,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,N,Y,Y,0,743,21
bv,N,N,N,0,0,0
bw,N,Y,N,0,269,0
by,N,N,N,0,1,0
bz,N,N,N,0,0,0
ca,Y,Y,Y,474,116,16
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,Y,Y,Y,16,152,3
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,1,0,0
ci,Y,Y,Y,661,534,7
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,Y,Y,Y,7,98,83
cp,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,Y,Y,N,4,16,0
cv,N,N,N,0,0,0
cw,N,Y,N,0,6,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
da,N,Y,Y,1,754,403
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,N,Y,Y,1,941,176
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,N,Y,Y,1,687,54
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,Y,Y,0,190,63
dp,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,N,Y,Y,0,300,61
dv,N,N,N,0,0,0
dw,N,Y,N,0,96,0
dy,N,Y,N,0,2,0
dz,N,N,N,0,0,0
ea,N,Y,N,0,2,1
eb,N,N,N,0,0,0
ec,Y,Y,N,5,142,0
ed,N,N,N,0,0,0
ee,N,Y,N,0,44,0
ef,N,Y,N,0,2,0
eg,N,N,N,0,0,0
eh,Y,Y,N,5,59,0
ei,N,Y,Y,1,2,3
ej,N,Y,N,0,51,0
ek,Y,Y,N,4,2280,0
el,Y,Y,N,10,6101,0
em,Y,Y,N,12,982,0
en,Y,Y,Y,28,3859,4
eo,N,Y,Y,0,200,200
ep,N,Y,N,0,47,0
es,Y,Y,N,6,3259,0
et,Y,Y,N,12,470,0
eu,N,Y,N,0,39,0
ev,Y,Y,N,4,161,0
ew,N,Y,N,0,143,0
ey,Y,Y,N,4,370,0
ez,Y,Y,N,3,581,0
fa,N,Y,Y,0,2,2
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,N,N,0,1,0
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,N,N,N,0,1,0
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,N,N,0,0,0
fp,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,9,328,35
fv,N,N,N,0,0,0
fw,Y,Y,N,4,353,0
fy,N,N,N,0,0,0
fz,N,N,N,0,0,0
ga,N,Y,Y,0,1209,763
gb,N,N,N,0,0,0
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,N,Y,Y,0,1707,226
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,N,Y,Y,0,890,132
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,N,N,0,0,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,N,Y,Y,0,301,87
gp,N,N,N,0,0,0
gs,N,N,N,0,1,0
gt,N,N,N,0,0,0
