bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,0,10,8
ab,Y,Y,N,1854,9043,0
ac,N,N,N,0,0,0
ad,N,Y,N,0,27,0
ae,N,Y,N,0,10,1
af,N,Y,N,0,20,0
ag,Y,Y,N,54,2307,0
ah,Y,Y,N,268,4899,0
ai,N,Y,Y,0,5,2
aj,N,N,N,0,1,0
ak,Y,Y,N,1407,7217,0
al,Y,Y,N,161,6312,0
am,Y,Y,N,577,5873,0
an,Y,Y,N,244,9267,0
ao,N,Y,N,0,6,1
ap,Y,Y,N,10,244,0
ar,Y,Y,N,5,235,0
as,Y,Y,Y,1021,6392,2
at,Y,Y,N,206,4722,0
au,N,N,N,0,1,0
av,N,N,N,1,0,0
aw,Y,Y,N,168,1691,0
ay,Y,Y,N,59,4410,0
az,N,Y,N,0,8,0
aĩ,N,Y,Y,0,40,4
aũ,N,N,N,1,1,0
aʼ,N,Y,N,0,5,0
ba,Y,Y,Y,2810,7977,1394
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,23,1093,212
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,338,3547,163
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,Y,N,0,4,0
bm,Y,Y,N,2,2,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,26,2169,1697
bp,N,N,N,0,0,0
br,N,N,N,1,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,217,1779,85
bv,N,N,N,1,0,0
bw,Y,Y,N,628,1758,1
by,Y,Y,Y,963,2004,3
bz,N,N,N,0,0,0
bĩ,Y,Y,Y,233,2726,166
bũ,Y,Y,Y,135,1570,59
bʼ,Y,Y,N,338,125,0
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,0,1,0
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,1,0,1
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,1,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cĩ,N,N,N,0,0,0
cũ,N,N,N,0,0,0
cʼ,N,N,N,0,0,0
da,Y,Y,Y,5,1839,966
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,2,628,142
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,N,Y,Y,0,1492,184
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,Y,Y,1,279,158
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,N,Y,Y,0,400,134
dv,N,N,N,0,0,0
dw,N,Y,N,0,89,0
dy,N,Y,N,0,142,0
dz,N,N,N,0,0,0
dĩ,Y,Y,Y,3,973,90
dũ,Y,Y,Y,2,171,15
dʼ,N,N,N,0,0,0
ea,N,Y,Y,0,13,3
eb,Y,Y,N,629,1312,0
ec,N,N,N,0,1,0
ed,Y,Y,N,4,15,0
ee,N,Y,Y,1,18,2
ef,N,Y,N,1,15,0
eg,Y,Y,N,4,691,0
eh,Y,Y,N,69,547,0
ei,N,Y,N,0,2,0
ej,N,N,N,1,1,0
ek,Y,Y,N,593,2358,0
el,Y,Y,N,10,151,0
em,Y,Y,N,164,1490,0
