bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,N,1,36,0
ab,Y,Y,Y,7,40,3
ac,N,N,N,0,1,0
ad,Y,Y,Y,2,63,5
ae,N,N,N,0,0,0
af,N,Y,N,0,15,1
ag,Y,Y,N,4,76,0
ah,N,Y,N,0,13,0
ai,N,Y,N,0,2,0
aj,N,N,N,0,0,0
ak,N,Y,Y,1,15,5
al,Y,Y,N,3,121,0
am,Y,Y,Y,5,76,30
an,Y,Y,Y,11,321,5
ao,N,N,N,0,0,0
ap,N,Y,N,1,4,0
ar,N,N,N,0,0,0
as,Y,Y,N,2,33,1
at,N,Y,N,0,11,0
au,N,Y,N,1,2,1
av,N,N,N,0,0,0
ay,N,Y,N,0,16,1
aá,Y,Y,Y,2,42,19
aè,N,N,N,0,0,0
aé,N,N,N,0,0,0
aí,N,N,N,0,0,0
aó,N,N,N,0,0,0
aú,N,N,N,0,0,0
aŋ,Y,Y,N,6,65,0
aɔ,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
ba,Y,Y,Y,52,97,43
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,70,89,15
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,111,82,12
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,70,30,6
bp,N,N,N,0,0,0
br,N,N,N,0,1,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,89,38,4
bv,N,N,N,0,0,0
by,N,N,N,0,0,0
bá,Y,Y,Y,168,105,18
bè,N,N,N,0,0,0
bé,Y,Y,Y,266,112,9
bí,Y,Y,Y,36,82,19
bó,Y,Y,Y,65,34,6
bú,Y,Y,Y,39,51,5
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,7,33,24
bɛ,Y,Y,Y,110,55,10
ca,Y,Y,Y,7,40,18
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,Y,Y,Y,6,16,3
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,1,1,0
ci,Y,Y,N,8,14,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,Y,Y,Y,4,45,2
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,Y,Y,N,6,13,0
cv,N,N,N,0,0,0
cy,N,N,N,0,0,0
cá,Y,Y,Y,9,16,6
cè,N,N,N,0,0,0
cé,Y,Y,N,6,6,0
cí,Y,Y,Y,3,17,3
có,Y,Y,Y,12,4,2
cú,Y,Y,N,5,5,1
cŋ,N,N,N,0,0,0
cɔ,Y,Y,Y,2,3,2
cɛ,Y,Y,Y,3,13,3
da,Y,Y,Y,12,140,109
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,10,147,63
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,2,144,11
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,11,42,10
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,18,40,7
dv,N,N,N,0,0,0
dy,N,N,N,0,0,0
dá,Y,Y,Y,37,84,30
dè,N,N,N,0,0,0
dé,Y,Y,Y,8,90,42
dí,Y,Y,Y,44,176,11
dó,Y,Y,Y,60,48,3
dú,Y,Y,Y,71,40,3
dŋ,N,N,N,0,0,0
dɔ,Y,Y,Y,4,30,20
dɛ,Y,Y,Y,5,53,10
ea,N,N,N,0,1,0
eb,Y,Y,N,2,57,0
ec,N,Y,N,0,5,0
ed,Y,Y,N,2,66,0
ee,N,Y,N,0,29,0
ef,N,Y,N,0,12,0
eg,Y,Y,N,4,82,0
eh,N,Y,N,1,13,0
ei,N,N,N,0,0,0
ej,N,N,N,0,0,0
ek,N,Y,N,0,13,0
el,N,Y,N,0,164,1
em,Y,Y,N,3,340,0
en,Y,Y,N,7,502,0
eo,N,N,N,0,0,0
ep,N,Y,N,1,2,0
er,N,Y,N,0,2,1
es,N,Y,N,1,32,0
et,N,Y,N,1,3,1
eu,N,N,N,0,1,1
ev,N,Y,N,0,2,0
ey,N,Y,N,0,9,0
eá,N,N,N,0,0,0
eè,N,N,N,0,0,0
eé,N,Y,Y,1,3,4
eí,N,N,N,0,0,0
eó,N,N,N,0,0,0
eú,N,N,N,0,0,0
eŋ,Y,Y,N,2,51,0
eɔ,N,N,N,0,0,0
eɛ,N,N,N,0,0,0
fa,Y,Y,Y,10,16,8
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,Y,Y,Y,8,13,2
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,N,15,21,1
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,Y,Y,N,15,20,0
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,30,22,2
fv,N,N,N,0,0,0
fy,N,N,N,0,0,0
fá,Y,Y,N,19,18,1
fè,N,N,N,0,0,0
fé,N,Y,N,0,9,0
fí,Y,Y,Y,20,27,3
fó,Y,Y,N,15,2,0
fú,Y,Y,N,36,24,1
fŋ,N,N,N,0,0,0
fɔ,N,Y,Y,0,3,2
fɛ,Y,Y,Y,10,10,3
ga,Y,Y,Y,20,177,99
gb,N,N,N,0,0,0
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,Y,Y,Y,16,199,56
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,Y,Y,Y,144,142,15
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,N,N,0,0,0
gm,N,N,N,0,0,0
gn,N,N,N,0,0,0
go,Y,Y,Y,182,81,5
gp,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,Y,Y,Y,49,85,7
gv,N,N,N,0,0,0
gy,N,N,N,0,0,0
gá,Y,Y,Y,27,108,35
gè,N,N,N,0,0,0
gé,Y,Y,Y,11,102,29
gí,Y,Y,Y,30,146,25
gó,Y,Y,Y,25,72,6
gú,Y,Y,Y,59,98,6
gŋ,N,N,N,0,0,0
gɔ,Y,Y,Y,3,41,22
gɛ,Y,Y,Y,92,64,9
ha,Y,Y,N,4,13,1
hb,N,N,N,0,0,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,N,Y,Y,1,15,2
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,Y,Y,N,3,25,0
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,N,N,0,0,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,Y,N,N,2,1,0
hp,N,N,N,0,0,0
hr,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,Y,Y,N,3,9,0
hv,N,N,N,0,0,0
hy,N,N,N,1,0,0
há,Y,Y,N,20,6,1
hè,N,N,N,0,0,0
hé,Y,Y,Y,24,13,2
hí,Y,Y,N,3,15,0
hó,Y,Y,N,22,11,1
hú,Y,Y,N,22,15,0
hŋ,N,N,N,0,0,0
hɔ,Y,Y,Y,2,14,13
hɛ,Y,Y,N,12,3,0
ia,N,N,N,0,0,0
ib,Y,Y,N,5,35,0
ic,N,Y,N,0,6,0
id,N,Y,N,1,135,0
ie,N,Y,Y,0,214,135
if,Y,Y,N,3,13,0
ig,Y,Y,N,2,139,0
ih,N,Y,N,1,7,0
ii,N,Y,N,0,63,0
ij,N,N,N,0,0,0
ik,Y,Y,N,2,25,0
il,Y,Y,N,2,48,0
im,Y,Y,N,3,103,0
in,Y,Y,N,24,243,1
io,N,Y,Y,0,52,31
ip,N,N,N,1,0,0
ir,N,N,N,0,1,0
is,Y,Y,N,5,64,1
it,N,Y,N,0,21,1
iu,N,Y,N,0,4,0
iv,N,Y,N,0,3,0
iy,Y,Y,N,8,15,0
iá,N,N,N,0,0,0
iè,N,N,N,0,1,0
ié,N,Y,N,0,7,0
ií,N,Y,Y,0,30,10
ió,N,Y,Y,0,18,14
iú,N,N,N,0,1,0
iŋ,Y,Y,N,3,42,0
iɔ,N,N,N,0,0,0
iɛ,N,N,N,0,0,0
ja,N,N,N,0,0,0
jb,N,N,N,0,0,0
