bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,N,0,2299,0
ab,Y,Y,N,886,2469,1
ac,Y,Y,N,6,39,0
ad,Y,Y,N,13,230,0
ae,N,N,N,0,0,0
af,Y,Y,N,34,429,0
ag,Y,Y,N,170,1153,0
ah,Y,Y,N,226,2527,0
ai,N,N,N,0,0,0
aj,Y,Y,N,23,215,0
ak,Y,Y,N,3,95,0
al,Y,Y,N,237,2409,1
am,Y,Y,N,238,2536,0
an,Y,Y,N,133,3163,0
ao,N,N,N,0,0,0
ap,N,Y,N,1,113,0
ar,N,Y,N,0,6,0
as,Y,Y,N,92,1206,0
at,Y,Y,N,202,1215,0
au,N,N,N,0,0,0
av,N,Y,N,0,8,0
aw,Y,Y,N,9,175,0
ay,Y,Y,N,20,820,0
az,N,Y,N,0,20,0
aŋ,Y,Y,N,120,1368,0
aʼ,N,N,N,0,0,0
ba,Y,Y,Y,2225,3674,555
bb,Y,Y,N,15,489,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,248,721,205
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,309,1529,140
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,40,971,124
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,219,1075,43
bv,N,N,N,0,0,0
bw,Y,Y,N,76,228,0
by,Y,Y,N,179,404,0
bz,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bʼ,Y,Y,N,56,38,0
ca,Y,Y,N,2,28,1
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,Y,Y,N,2,2,1
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,0,0,0
ci,Y,N,N,3,1,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,Y,N,N,2,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,Y,Y,N,4,64,0
cv,N,N,N,0,0,0
