bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,1,112,39
ab,N,Y,N,1,42,0
ac,N,N,N,0,0,0
ad,N,Y,N,0,34,0
ae,N,Y,Y,1,2,3
af,N,Y,N,0,2,0
ag,N,Y,N,0,90,0
ah,N,N,N,0,0,0
ai,N,N,N,0,0,0
aj,N,Y,N,0,2,0
ak,N,Y,N,0,83,0
al,Y,Y,N,2,67,0
am,N,Y,N,1,201,0
an,Y,Y,Y,2,156,37
ao,N,Y,N,0,2,0
ap,N,Y,N,0,19,0
ar,N,Y,N,0,2,0
as,N,Y,N,0,25,0
at,N,Y,N,0,41,0
au,N,N,N,0,0,0
av,N,N,N,0,0,0
aw,N,Y,N,0,12,0
ax,N,N,N,0,0,0
ay,N,Y,N,0,68,0
az,N,Y,N,0,37,0
aɔ,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
aɩ,N,N,N,0,1,1
aʋ,N,N,N,0,0,0
ba,Y,Y,Y,11,87,51
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,2,11,4
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,Y,Y,N,127,268,1
bi,Y,Y,Y,3,7,3
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,Y,Y,N,4,24,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,5,55,13
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,9,23,3
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
bx,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bɔ,Y,Y,Y,9,51,6
bɛ,Y,Y,Y,4,8,7
bɩ,Y,Y,Y,8,34,32
bʋ,Y,Y,Y,18,20,11
ca,N,N,N,1,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,0,0,0
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,Y,Y,N,8,5,0
co,Y,N,N,2,1,0
cp,N,N,N,0,0,0
cr,Y,Y,N,7,5,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cx,N,N,N,0,0,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cɔ,N,N,N,1,0,1
cɛ,Y,Y,Y,11,34,16
cɩ,Y,Y,Y,10,12,2
cʋ,Y,N,N,7,0,1
da,Y,Y,Y,12,17,12
db,N,N,N,1,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,10,51,10
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,6,18,3
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,N,N,2,1,0
dp,N,N,N,0,0,0
dr,Y,Y,N,5,11,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,9,30,16
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dx,N,N,N,0,0,0
dy,N,N,N,0,0,0
dz,N,N,N,0,0,0
dɔ,N,Y,Y,1,2,2
dɛ,N,N,N,1,1,1
dɩ,Y,Y,Y,45,87,76
dʋ,Y,N,N,2,1,1
ea,N,Y,Y,0,5,5
eb,N,Y,N,0,20,0
ec,N,N,N,0,0,0
ed,N,Y,N,0,22,0
ee,N,Y,Y,1,41,9
ef,N,N,N,0,1,0
eg,N,Y,N,0,13,0
eh,N,N,N,0,0,0
ei,N,Y,N,0,3,1
ej,N,N,N,0,1,0
ek,N,Y,N,0,24,0
el,N,Y,N,0,29,0
em,N,Y,N,1,33,0
en,N,Y,N,0,55,0
eo,N,N,N,0,0,0
ep,N,Y,N,0,17,0
er,N,N,N,0,0,0
es,N,Y,N,0,19,0
et,N,Y,N,0,40,0
eu,N,N,N,0,0,0
ev,N,Y,N,0,2,0
ew,N,Y,N,0,11,0
ex,N,N,N,0,0,0
ey,N,Y,N,0,63,0
ez,N,Y,N,0,10,0
eɔ,N,N,N,0,0,0
eɛ,N,Y,Y,0,21,10
eɩ,N,N,N,0,0,0
eʋ,N,N,N,0,0,0
fa,Y,Y,N,4,4,1
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,N,N,0,0,0
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,N,3,2,1
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,Y,Y,N,8,11,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,N,N,0,0,0
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,N,2,6,0
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fx,N,N,N,0,0,0
fy,N,N,N,0,0,0
fz,N,N,N,0,0,0
fɔ,Y,Y,Y,4,8,2
fɛ,N,N,Y,1,1,2
fɩ,Y,Y,N,4,4,0
fʋ,N,Y,N,1,3,1
ga,Y,Y,Y,8,37,5
gb,Y,Y,N,82,146,0
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,Y,Y,Y,11,3,4
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,Y,Y,N,3,3,0
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,Y,Y,N,13,24,0
gm,N,N,N,0,0,0
gn,N,Y,N,0,3,0
go,N,N,N,0,0,0
gp,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,Y,N,N,7,0,1
gv,N,N,N,0,0,0
gw,Y,Y,N,41,34,0
gx,N,N,N,0,0,0
gy,N,N,N,0,0,0
gz,N,N,N,0,0,0
gɔ,Y,Y,Y,7,14,6
gɛ,Y,Y,Y,3,40,40
gɩ,Y,Y,Y,6,24,21
gʋ,Y,Y,Y,8,15,3
ha,N,Y,Y,0,63,10
hb,N,N,N,0,0,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,N,Y,Y,0,14,2
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,N,Y,Y,0,18,6
hj,N,N,N,0,0,0
hk,N,N,N,0,0,0
hl,N,Y,N,0,127,0
hm,N,N,N,0,0,0
hn,N,N,N,0,0,0
ho,N,Y,Y,0,15,2
hp,N,N,N,0,0,0
hr,N,N,N,0,0,0
hs,N,N,N,0,0,0
ht,N,N,N,0,0,0
hu,N,Y,N,0,15,1
hv,N,N,N,0,0,0
hw,N,N,N,0,0,0
hx,N,N,N,0,0,0
hy,N,N,N,0,0,0
hz,N,N,N,0,0,0
hɔ,N,Y,Y,0,16,3
hɛ,N,Y,Y,0,26,10
hɩ,N,Y,Y,0,10,5
hʋ,N,Y,Y,0,59,22
ia,N,Y,Y,0,19,14
ib,N,Y,N,0,77,0
ic,N,Y,N,0,25,0
id,Y,Y,N,2,76,0
ie,N,Y,Y,0,41,18
if,N,Y,N,1,15,0
ig,N,Y,N,0,55,0
ih,N,N,N,0,0,0
ii,N,Y,Y,0,30,15
ij,N,Y,N,0,7,0
ik,Y,Y,N,3,107,0
il,N,Y,N,0,97,0
im,N,Y,N,0,33,0
in,Y,Y,Y,4,136,3
io,N,N,N,0,0,0
ip,Y,Y,N,2,41,0
ir,N,N,N,0,0,0
is,N,Y,N,1,64,0
it,N,Y,N,0,78,0
iu,N,N,N,0,0,0
iv,N,Y,N,0,8,0
iw,N,Y,N,0,34,0
ix,N,N,N,0,0,0
iy,N,Y,N,0,50,0
iz,N,Y,N,1,61,0
iɔ,N,N,N,0,0,0
iɛ,N,Y,Y,0,39,22
iɩ,N,N,N,0,0,0
iʋ,N,N,N,0,0,0
ja,N,Y,Y,0,6,2
jb,N,N,N,0,0,0
jc,N,N,N,0,0,0
jd,N,N,N,0,0,0
je,Y,N,N,2,0,0
jf,N,N,N,0,0,0
jg,N,N,N,0,0,0
jh,N,N,N,0,0,0
ji,Y,Y,Y,7,4,2
jj,N,N,N,0,0,0
jk,N,N,N,0,0,0
jl,N,N,N,0,0,0
jm,N,N,N,0,0,0
jn,N,N,N,1,0,0
jo,N,Y,N,1,12,0
jp,N,N,N,0,0,0
jr,Y,Y,N,11,6,0
js,N,N,N,0,0,0
jt,N,N,N,0,0,0
ju,N,N,N,0,0,0
jv,N,N,N,0,0,0
jw,N,N,N,0,0,0
jx,N,N,N,0,0,0
jy,N,N,N,0,0,0
jz,N,N,N,0,0,0
jɔ,N,N,N,1,0,1
jɛ,Y,N,N,7,1,1
jɩ,N,N,N,1,0,0
jʋ,N,N,N,0,0,0
ka,Y,Y,Y,11,70,46
kb,N,N,N,1,0,0
kc,N,N,N,0,0,0
kd,N,N,N,0,0,0
ke,Y,Y,Y,5,5,5
kf,N,N,N,0,0,0
kg,N,N,N,0,0,0
kh,N,N,N,0,0,0
ki,N,N,N,0,0,0
kj,N,N,N,0,0,0
kk,N,N,N,0,0,0
kl,Y,Y,N,40,84,0
km,Y,Y,N,5,17,0
kn,N,N,N,0,0,0
ko,Y,Y,Y,6,26,10
kp,Y,Y,N,80,188,0
kr,N,N,N,0,0,0
ks,N,N,N,0,0,0
kt,N,N,N,0,0,0
ku,Y,Y,Y,16,79,22
kv,N,N,N,0,0,0
kw,Y,Y,N,18,6,0
kx,N,N,N,0,0,0
ky,N,N,N,0,0,0
kz,N,N,N,0,0,0
kɔ,Y,Y,Y,30,24,5
kɛ,N,N,N,1,0,1
kɩ,Y,Y,Y,10,5,3
kʋ,Y,Y,Y,3,8,2
la,Y,Y,Y,15,112,25
lb,Y,Y,N,39,50,0
lc,N,N,N,0,0,0
ld,N,N,N,0,0,0
le,Y,Y,Y,22,128,27
lf,N,N,N,0,0,0
lg,N,N,N,0,0,0
lh,N,N,N,0,0,0
li,Y,Y,Y,79,184,35
lj,N,N,N,0,0,0
lk,N,N,N,0,0,0
ll,N,N,N,0,0,0
lm,N,N,N,0,0,0
ln,N,N,N,0,0,0
lo,Y,Y,Y,3,22,9
lp,N,N,N,0,0,0
lr,Y,Y,N,37,35,0
ls,N,N,N,0,0,0
lt,N,N,N,0,0,0
lu,N,Y,Y,1,108,67
lv,N,N,N,0,0,0
lw,N,N,N,0,0,0
lx,N,N,N,0,0,0
ly,N,N,N,0,0,0
lz,N,N,N,0,0,0
lɔ,Y,Y,Y,6,32,11
lɛ,Y,Y,Y,16,123,68
lɩ,Y,Y,Y,21,124,82
lʋ,Y,Y,Y,5,107,58
ma,Y,Y,Y,9,31,5
mb,N,N,N,0,0,0
mc,N,N,N,0,0,0
md,N,N,N,0,0,0
me,N,N,N,0,1,0
mf,N,N,N,0,0,0
mg,N,N,N,0,0,0
mh,N,N,N,0,0,0
mi,Y,Y,Y,2,17,7
mj,N,N,N,0,0,0
mk,N,N,N,0,0,0
ml,N,N,N,0,0,0
mm,N,N,N,0,0,0
mn,Y,Y,N,9,10,0
mo,N,N,N,1,0,1
mp,N,N,N,0,0,0
mr,N,N,N,0,0,0
ms,N,N,N,0,0,0
mt,N,N,N,0,0,0
mu,Y,Y,Y,8,23,7
mv,N,N,N,0,0,0
mw,N,N,N,0,0,0
mx,N,N,N,0,0,0
my,N,N,N,0,0,0
mz,N,N,N,0,0,0
mɔ,Y,Y,Y,9,63,6
mɛ,Y,Y,Y,16,16,2
mɩ,Y,Y,N,4,3,1
mʋ,Y,Y,Y,98,343,287
na,Y,Y,Y,19,221,26
nb,N,Y,N,0,5,0
nc,N,N,N,0,1,0
nd,N,Y,N,0,9,0
ne,N,N,N,0,0,0
nf,N,N,N,0,1,0
ng,Y,Y,N,12,7,0
nh,N,N,N,0,0,0
ni,Y,Y,Y,31,72,27
nj,N,N,N,0,1,0
nk,N,Y,N,0,31,0
nl,N,Y,N,0,14,0
nm,Y,Y,N,18,63,0
nn,Y,Y,N,3,53,0
no,N,N,N,0,0,0
np,N,Y,N,0,7,0
nr,N,N,N,0,0,0
ns,N,Y,N,0,3,0
nt,N,Y,N,0,12,0
nu,Y,Y,Y,3,18,8
nv,N,Y,N,0,2,0
nw,N,Y,N,0,13,0
nx,N,N,N,0,0,0
ny,Y,Y,N,168,174,0
nz,N,Y,N,0,8,0
nɔ,Y,Y,Y,3,50,12
nɛ,Y,Y,Y,14,25,14
nɩ,Y,Y,Y,11,99,36
nʋ,Y,Y,Y,18,57,14
oa,N,Y,Y,0,3,3
ob,N,Y,N,0,9,0
