bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,N,N,0,1,1
ab,N,Y,N,0,21,0
ac,N,N,N,0,1,0
ad,N,Y,N,0,265,1
ae,N,N,N,0,0,0
af,N,Y,N,0,30,0
ag,N,Y,N,1,42,0
ah,N,Y,N,0,186,0
ai,N,N,N,0,0,0
aj,N,N,N,0,1,0
ak,N,Y,N,1,416,0
al,N,Y,N,0,352,0
am,N,Y,N,0,175,0
an,N,Y,N,0,121,0
ap,N,Y,N,0,21,0
ar,N,Y,N,0,266,0
as,N,Y,N,0,182,0
at,N,Y,N,1,358,0
au,N,N,N,0,0,0
av,N,Y,N,0,210,0
aw,N,Y,N,0,208,0
ay,Y,Y,N,2,71,0
az,N,Y,N,0,51,0
aá,N,N,N,0,0,0
aŋ,N,Y,N,0,48,0
aɓ,N,Y,N,0,18,0
aɗ,N,Y,N,0,90,0
aə,N,N,N,0,0,0
aɨ,N,N,N,0,0,0
ba,Y,Y,Y,27,96,15
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,8,41,4
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,8,7,6
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,N,6,2,0
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bz,N,N,N,0,0,0
bá,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɓ,N,N,N,0,0,0
bɗ,N,N,N,0,0,0
bə,Y,Y,Y,24,87,12
bɨ,Y,Y,N,26,37,0
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,Y,Y,Y,39,57,45
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,0,0,0
