bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,0,3,2
ab,Y,Y,N,98,1961,0
ac,Y,Y,N,21,510,0
ad,N,Y,N,1,19,0
ae,N,N,N,0,1,0
af,Y,Y,N,9,348,0
ag,N,Y,N,0,10,0
ah,N,Y,N,0,4,0
ai,Y,Y,N,12,362,1
aj,N,N,N,0,1,0
ak,Y,Y,N,285,2732,0
al,Y,Y,N,158,5366,0
am,Y,Y,N,104,3501,0
an,Y,Y,N,34,3841,0
ao,N,Y,N,0,6,1
ap,Y,Y,N,33,1238,0
as,Y,Y,N,51,1285,0
at,Y,Y,N,38,1399,0
au,Y,Y,N,7,329,1
av,N,N,N,0,1,0
aw,Y,Y,N,3,136,0
ay,Y,Y,N,21,561,0
az,N,Y,N,0,2,0
ba,Y,Y,Y,1701,2750,547
bb,N,N,N,1,1,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,155,1219,192
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,219,1140,72
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,21,910,182
bp,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,171,899,20
bv,N,N,N,0,0,0
bw,Y,Y,N,208,446,0
by,Y,Y,N,254,332,0
bz,N,N,N,0,0,0
ca,Y,Y,Y,445,478,14
cb,N,N,N,0,0,0
cc,N,N,N,0,1,0
cd,N,N,N,0,0,0
ce,Y,Y,N,27,286,1
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,N,4,8,0
ci,Y,Y,Y,317,677,26
cj,N,N,N,0,0,0
ck,N,N,N,0,1,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,Y,Y,Y,16,463,110
cp,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,Y,Y,N,4,6,1
cv,N,N,N,0,0,0
cw,N,N,N,0,1,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
da,N,Y,Y,0,892,159
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,N,Y,Y,0,258,29
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,N,Y,Y,0,384,108
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,Y,Y,0,114,72
dp,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,N,Y,Y,0,205,26
dv,N,N,N,0,0,0
dw,N,Y,N,0,102,0
dy,N,Y,N,0,20,0
dz,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,Y,Y,N,64,424,0
ec,Y,Y,N,28,168,0
ed,N,Y,N,0,2,0
ee,N,Y,Y,1,8,4
ef,N,Y,N,0,10,0
eg,N,N,N,0,0,0
eh,N,N,N,0,1,0
ei,Y,Y,N,2,9,0
ej,N,N,N,0,0,0
ek,Y,Y,N,23,1181,0
el,Y,Y,N,42,1313,0
em,Y,Y,N,82,600,0
en,Y,Y,N,77,1985,0
eo,N,N,N,0,1,0
ep,Y,Y,N,8,361,0
es,Y,Y,N,54,1136,0
et,Y,Y,N,3,1143,0
eu,Y,Y,N,11,3,0
ev,N,N,N,0,0,0
ew,Y,Y,N,61,160,0
ey,Y,Y,N,7,163,0
ez,N,Y,N,0,3,0
fa,N,Y,Y,1,8,6
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,Y,N,0,3,0
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,N,Y,Y,0,5,5
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,Y,Y,0,24,2
fp,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,6,501,62
fv,N,N,N,0,0,0
fw,Y,Y,N,2,685,0
fy,N,N,N,0,1,0
fz,N,N,N,0,0,0
ga,N,Y,Y,0,2420,1907
gb,N,N,N,0,0,0
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,N,Y,Y,1,356,59
