bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,84,4418,1895
ab,Y,Y,N,64,134,0
ac,Y,Y,Y,14,137,6
ad,N,Y,N,0,40,0
ae,N,N,N,0,1,1
af,N,Y,Y,0,201,8
ag,Y,Y,N,2,606,0
ah,N,Y,Y,0,314,31
ai,N,N,N,0,0,0
aj,N,Y,N,0,40,0
ak,Y,Y,Y,10,670,45
al,Y,Y,Y,33,753,58
am,Y,Y,Y,52,613,26
an,Y,Y,Y,26,1360,239
ao,N,N,N,0,0,0
ap,Y,Y,Y,58,88,8
ar,Y,Y,Y,4,1402,2
as,Y,Y,Y,8,412,35
at,Y,Y,Y,66,662,255
au,N,N,N,0,0,0
aw,Y,Y,Y,2,255,12
ay,Y,Y,Y,32,601,30
aé,N,N,N,0,0,0
aë,N,N,N,0,0,0
aí,N,N,N,0,0,0
añ,N,Y,Y,0,121,16
aó,N,N,N,0,0,0
aú,N,N,N,0,0,0
aŋ,N,Y,Y,1,148,25
aƴ,Y,Y,Y,4,45,12
aɓ,N,Y,Y,0,389,14
aɗ,N,Y,N,0,448,0
aꞌ,N,Y,Y,1,308,61
ba,Y,Y,Y,160,158,29
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,N,28,19,0
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,19,149,14
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,N,40,118,0
bp,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,26,115,5
bw,N,N,N,0,0,0
by,N,N,N,0,0,0
bé,N,Y,N,0,23,0
bë,Y,Y,N,35,12,0
bí,Y,Y,N,57,45,0
bñ,N,N,N,0,0,0
bó,N,Y,N,1,27,0
bú,Y,Y,N,20,50,0
bŋ,N,N,N,0,0,0
bƴ,N,N,N,0,0,0
bɓ,N,N,N,0,0,0
bɗ,N,N,N,0,0,0
bꞌ,N,N,N,0,0,0
ca,Y,Y,Y,50,718,157
cb,N,N,N,0,0,0
cc,N,Y,N,0,13,0
cd,N,N,N,0,1,0
ce,Y,Y,Y,11,27,2
cf,N,N,N,0,1,0
cg,N,N,N,0,0,0
ch,N,N,N,0,0,0
ci,Y,Y,Y,123,546,89
cj,N,N,N,0,0,0
ck,N,Y,N,0,5,0
cl,N,Y,N,0,6,0
cm,N,N,N,0,0,0
cn,N,Y,N,0,2,0
co,Y,Y,N,42,22,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,Y,N,0,6,0
ct,N,N,N,0,0,0
cu,Y,Y,Y,15,85,5
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cé,Y,N,N,8,0,0
cë,Y,Y,N,3,3,0
cí,Y,Y,N,5,16,0
cñ,N,N,N,0,0,0
có,N,N,N,0,1,0
cú,Y,Y,N,11,4,0
cŋ,N,N,N,0,0,0
cƴ,N,N,N,0,0,0
cɓ,N,N,N,0,0,0
cɗ,N,Y,N,0,5,0
cꞌ,N,N,N,0,0,0
da,Y,Y,Y,129,339,42
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,N,25,15,1
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,28,386,124
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,N,56,345,0
dp,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,6,135,7
dw,N,N,N,0,0,0
dy,N,N,N,0,0,0
dé,Y,Y,N,2,4,0
dë,Y,Y,N,61,20,0
dí,Y,Y,Y,106,164,2
dñ,N,N,N,0,0,0
dó,Y,Y,N,2,9,0
dú,Y,Y,N,29,147,1
dŋ,N,N,N,0,0,0
dƴ,N,N,N,0,0,0
dɓ,N,N,N,0,0,0
dɗ,N,N,N,0,0,0
dꞌ,N,N,N,0,0,0
ea,N,N,N,0,0,0
eb,Y,Y,N,29,31,0
ec,N,Y,N,0,28,0
ed,N,Y,N,0,77,0
ee,Y,Y,Y,42,1829,456
ef,N,Y,Y,0,20,4
eg,Y,Y,N,3,110,0
eh,N,Y,Y,0,85,8
ei,N,N,N,0,0,0
ej,N,Y,N,0,2,0
ek,Y,Y,Y,67,265,18
el,Y,Y,Y,2,365,14
em,N,Y,Y,1,66,9
en,Y,Y,Y,87,242,25
eo,N,N,N,0,0,0
ep,Y,Y,Y,2,8,2
er,Y,Y,N,58,553,1
es,Y,Y,Y,3,235,9
et,N,Y,Y,0,122,14
eu,N,N,N,0,0,0
ew,N,Y,Y,0,281,6
ey,N,Y,Y,0,64,4
eé,N,N,N,0,0,0
eë,N,N,N,0,0,0
eí,N,N,N,0,0,0
eñ,N,Y,Y,0,169,6
eó,N,N,N,0,0,0
eú,N,N,N,0,0,0
eŋ,N,Y,Y,1,53,11
eƴ,N,Y,Y,0,53,6
eɓ,N,Y,Y,0,179,15
eɗ,N,Y,N,0,123,0
eꞌ,Y,Y,Y,39,143,30
fa,Y,Y,Y,195,282,76
fb,N,N,N,0,0,0
fc,N,Y,N,0,42,0
fd,N,Y,N,0,10,0
fe,Y,Y,Y,70,23,2
ff,N,Y,N,0,62,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,Y,74,138,5
fj,N,Y,N,0,5,0
fk,N,Y,N,0,11,0
fl,N,N,N,0,1,0
fm,N,N,N,0,0,0
fn,N,N,N,0,1,0
fo,Y,Y,N,88,22,0
fp,N,N,N,0,0,0
fr,N,N,N,0,0,0
fs,N,Y,N,0,4,0
ft,N,Y,N,0,3,0
fu,Y,Y,Y,9,114,61
fw,N,Y,N,0,4,0
fy,N,N,N,0,0,0
