bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,257,11748,2011
ab,Y,Y,Y,151,2555,57
ac,Y,Y,Y,3,1099,35
ad,Y,Y,Y,347,6780,329
ae,N,N,N,0,0,0
af,Y,Y,Y,143,502,24
ag,Y,Y,Y,36,1849,28
ah,Y,Y,Y,83,1698,21
ai,N,N,N,0,0,0
aj,Y,Y,Y,5,319,2
ak,Y,Y,N,23,319,0
al,Y,Y,Y,121,2588,131
am,Y,Y,Y,217,1244,7
an,Y,Y,Y,36,6626,2529
ao,N,N,N,0,0,0
aq,Y,Y,Y,58,678,13
ar,Y,Y,Y,122,3721,79
as,Y,Y,Y,48,2046,205
at,N,Y,N,1,901,1
au,N,N,N,0,0,0
aw,Y,Y,N,84,473,1
ax,Y,Y,Y,39,972,24
ay,Y,Y,Y,46,7928,2210
ba,Y,Y,Y,1003,2985,1149
bb,N,Y,N,0,286,0
bc,N,Y,N,0,29,0
bd,N,Y,N,0,85,0
be,Y,Y,Y,262,182,7
bf,N,N,N,0,1,0
bg,N,Y,N,0,7,0
bh,N,Y,N,0,4,0
bi,Y,Y,Y,267,977,76
bj,N,Y,N,0,2,0
bk,N,Y,N,0,353,0
bl,N,Y,N,0,22,0
bm,N,Y,N,0,17,0
bn,N,Y,N,0,117,0
bo,Y,Y,Y,294,290,72
bq,N,Y,N,0,11,0
br,N,Y,N,0,49,0
bs,N,Y,N,0,246,0
bt,N,Y,N,0,370,0
bu,Y,Y,Y,322,222,6
bw,N,Y,N,0,2,0
bx,N,Y,N,0,27,0
by,N,Y,N,0,62,0
ca,Y,Y,Y,1242,803,28
cb,N,Y,N,0,36,0
cc,N,N,N,0,0,0
cd,N,Y,N,0,152,0
ce,Y,Y,N,134,86,1
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,0,0,0
ci,Y,Y,Y,260,266,27
cj,N,N,N,0,1,0
ck,N,N,N,0,0,0
cl,N,Y,N,0,57,0
cm,N,Y,N,0,117,0
cn,N,Y,N,0,53,0
co,Y,Y,Y,66,116,20
cq,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,Y,N,0,66,0
ct,N,N,N,0,0,0
cu,Y,Y,Y,236,29,4
cw,N,Y,N,0,35,0
cx,N,N,N,0,1,0
cy,N,Y,N,1,52,0
da,Y,Y,Y,1231,5208,2093
db,N,Y,N,0,228,0
dc,N,Y,N,0,39,0
dd,N,Y,N,1,1463,0
de,Y,Y,Y,426,777,19
df,N,N,N,0,0,0
dg,N,Y,N,0,82,0
dh,Y,Y,Y,2068,1584,36
di,Y,Y,Y,373,3274,66
dj,N,Y,N,0,8,0
dk,N,Y,N,0,694,0
dl,N,Y,N,0,92,0
dm,N,Y,N,0,31,0
dn,N,Y,N,0,305,0
do,Y,Y,Y,255,1131,291
dq,N,Y,N,0,13,0
dr,N,Y,N,0,11,0
ds,N,Y,N,0,78,0
dt,N,N,N,0,1,0
du,Y,Y,Y,435,1258,555
dw,N,N,N,0,0,0
dx,N,Y,N,0,10,0
dy,N,Y,N,1,71,0
ea,N,N,N,0,0,0
eb,Y,Y,Y,2,243,6
ec,N,Y,Y,0,127,2
ed,Y,Y,Y,23,1322,158
ee,Y,Y,Y,77,4578,197
ef,N,Y,Y,0,94,4
eg,Y,Y,Y,5,457,12
eh,Y,Y,Y,2,62,7
ei,N,N,N,0,0,0
ej,N,Y,N,0,159,0
ek,Y,Y,N,33,17,0
el,Y,Y,Y,2,585,20
em,N,Y,Y,0,177,6
en,Y,Y,Y,29,1602,1201
eo,N,N,N,0,0,0
eq,N,Y,N,0,21,1
er,Y,Y,Y,140,699,19
es,N,Y,Y,0,210,3
et,N,Y,N,0,11,0
eu,N,N,N,0,0,0
ew,N,N,N,0,0,0
ex,N,Y,Y,1,238,5
ey,N,Y,Y,0,1135,361
fa,Y,Y,Y,550,349,15
fb,N,Y,N,0,3,0
fc,N,N,N,0,0,0
fd,N,Y,N,0,5,0
fe,Y,Y,N,17,22,1
ff,N,N,N,0,0,0
fg,N,Y,N,0,12,0
fh,N,N,N,0,0,0
fi,Y,Y,Y,213,185,25
fj,N,Y,N,0,8,0
fk,N,Y,N,0,154,0
fl,N,Y,N,0,5,0
fm,N,N,N,0,0,0
fn,N,Y,N,0,9,0
fo,Y,Y,Y,113,42,21
fq,N,Y,N,0,8,0
fr,N,Y,N,0,9,0
fs,N,Y,N,0,84,0
ft,N,Y,N,0,221,0
fu,Y,Y,Y,158,77,3
fw,N,N,N,0,0,0
fx,N,N,N,0,0,0
fy,N,Y,N,0,7,0
ga,Y,Y,Y,847,2324,723
gb,N,Y,N,0,11,0
gc,N,N,N,0,0,0
gd,N,Y,N,0,47,0
ge,Y,Y,Y,175,322,3
gf,N,Y,N,0,7,0
gg,N,Y,N,0,438,1
gh,N,N,N,0,0,0
gi,Y,Y,Y,46,898,36
gj,N,Y,N,0,7,0
gk,N,N,N,0,0,0
gl,N,Y,N,0,19,0
gm,N,Y,N,0,75,0
gn,N,Y,N,0,97,0
go,Y,Y,Y,195,362,41
gq,N,Y,N,0,3,0
gr,N,Y,N,0,14,0
gs,N,Y,N,0,159,0
gt,N,Y,N,0,324,0
gu,Y,Y,Y,465,628,239
gw,N,N,N,0,0,0
gx,N,Y,N,0,22,0
gy,N,Y,N,0,45,0
ha,Y,Y,Y,810,3614,368
hb,N,Y,N,0,16,0
hc,N,N,N,0,0,0
hd,N,Y,N,0,108,0
he,Y,Y,Y,83,761,6
hf,N,Y,N,0,4,0
hg,N,N,N,0,0,0
hh,N,N,N,0,0,0
hi,Y,Y,Y,93,2217,46
hj,N,N,N,0,0,0
hk,N,Y,N,0,197,0
hl,N,Y,N,0,7,0
hm,N,Y,N,0,40,0
hn,N,Y,N,0,78,0
ho,Y,Y,Y,299,683,113
hq,N,Y,N,0,4,0
hr,N,Y,N,0,55,0
hs,N,Y,N,0,111,0
ht,N,Y,N,1,135,0
hu,Y,Y,Y,124,530,103
hw,N,Y,N,0,6,0
hx,N,Y,N,0,13,0
hy,N,Y,N,0,62,0
ia,N,N,N,0,0,0
ib,N,Y,Y,1,743,20
ic,N,Y,Y,0,174,2
id,Y,Y,Y,105,1822,359
ie,N,N,N,0,0,0
if,Y,Y,Y,47,149,6
ig,Y,Y,Y,11,1196,13
ih,Y,Y,N,7,573,0
ii,Y,Y,Y,115,7650,2897
ij,N,Y,N,0,119,0
ik,Y,Y,N,9,82,0
il,Y,Y,Y,198,706,27
im,Y,Y,Y,55,794,7
in,Y,Y,Y,224,3797,743
io,N,N,N,0,0,0
iq,Y,Y,Y,2,137,7
ir,Y,Y,Y,52,1220,44
is,Y,Y,Y,348,3327,198
it,Y,Y,N,27,55,0
iu,N,N,N,0,0,0
iw,N,Y,N,0,3,0
ix,N,Y,Y,1,225,5
iy,Y,Y,Y,34,1946,2
ja,Y,Y,N,178,227,1
jb,N,N,N,0,0,0
jc,N,N,N,0,0,0
jd,N,N,N,0,0,0
je,Y,Y,N,196,57,1
jf,N,N,N,0,0,0
jg,N,N,N,0,0,0
jh,N,N,N,0,0,0
ji,Y,Y,Y,374,505,19
jj,N,N,N,0,0,0
jk,N,Y,N,0,13,0
jl,N,N,N,0,0,0
jm,N,N,N,0,0,0
jn,N,Y,N,0,3,0
jo,Y,Y,Y,121,64,7
jq,N,N,N,0,0,0
jr,N,N,N,0,0,0
js,N,N,N,0,0,0
jt,N,N,N,0,0,0
ju,Y,Y,N,9,23,0
jw,N,N,N,0,0,0
jx,N,N,N,0,0,0
jy,N,N,N,0,0,0
ka,Y,Y,Y,472,2075,637
kb,N,N,N,0,0,0
kc,N,N,N,0,0,0
kd,N,N,N,0,0,0
ke,Y,Y,N,93,409,1
kf,N,N,N,0,0,0
kg,N,N,N,0,0,0
kh,Y,Y,N,176,217,1
ki,Y,Y,Y,139,1531,13
kj,N,N,N,0,0,0
kk,N,N,N,0,0,0
kl,N,N,N,0,0,0
km,N,Y,N,0,2,0
kn,N,N,N,0,0,0
ko,Y,Y,Y,208,501,12
kq,N,N,N,0,0,0
kr,N,Y,N,0,14,0
ks,N,N,N,0,0,0
kt,N,Y,N,0,3,0
ku,Y,Y,Y,203,457,153
kw,N,N,N,0,0,0
kx,N,N,N,0,0,0
ky,N,N,N,0,0,0
la,Y,Y,Y,474,2332,83
lb,N,Y,N,0,189,0
lc,N,Y,N,0,65,0
ld,N,Y,N,0,93,1
le,Y,Y,Y,72,187,18
lf,N,Y,N,0,5,0
lg,N,Y,N,0,53,0
lh,N,Y,N,0,2,0
li,Y,Y,Y,99,939,78
lj,N,N,N,0,1,0
lk,N,Y,N,0,767,0
ll,N,Y,N,0,843,0
lm,N,Y,N,0,183,0
ln,N,Y,N,0,114,0
lo,Y,Y,Y,39,533,96
lq,N,Y,N,0,51,0
lr,N,N,N,0,0,0
ls,N,Y,N,0,55,0
lt,N,Y,N,0,12,0
lu,Y,Y,Y,58,106,7
lw,N,Y,N,0,31,0
lx,N,Y,Y,0,41,2
ly,N,Y,N,0,35,1
ma,Y,Y,Y,1195,2176,117
mb,N,Y,N,0,355,0
mc,N,Y,N,0,27,0
md,N,N,N,0,0,0
me,Y,Y,Y,136,193,6
mf,N,N,N,0,0,0
mg,N,N,N,0,0,0
mh,N,N,N,0,0,0
mi,Y,Y,Y,294,535,62
mj,N,N,N,0,0,0
mk,N,Y,N,0,14,0
ml,N,N,N,0,0,0
mm,N,Y,N,0,397,0
mn,N,Y,N,0,3,0
mo,Y,Y,Y,32,249,145
mq,N,N,N,0,0,0
mr,N,Y,N,0,73,0
