bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,2,62,25
ab,N,Y,N,0,25,0
ac,N,N,N,0,1,0
ad,N,Y,N,0,19,0
ae,N,N,N,0,0,0
af,N,Y,N,0,3,0
ag,N,Y,N,0,19,0
ah,N,Y,N,0,10,0
ai,N,Y,N,0,7,0
aj,N,Y,N,0,3,0
ak,N,Y,N,0,23,0
al,Y,Y,N,3,29,0
am,N,Y,N,1,11,0
an,Y,Y,Y,3,79,11
ao,N,N,N,0,0,0
ap,N,Y,N,1,29,0
aq,N,N,N,0,0,0
ar,N,Y,N,0,3,0
as,N,Y,N,0,12,0
at,N,Y,N,0,22,0
au,Y,Y,N,2,3,1
av,N,N,N,0,0,0
aw,N,Y,N,0,24,0
ax,N,N,N,0,0,0
ay,N,Y,N,0,40,0
aè,N,N,N,0,0,0
aé,N,N,N,0,0,0
aŋ,N,Y,N,0,4,0
aɔ,N,N,N,0,1,0
aɛ,N,N,N,0,0,0
aɩ,N,Y,Y,0,8,4
aʋ,N,Y,N,0,4,1
ba,Y,Y,Y,4,47,18
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,N,Y,Y,1,11,7
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,9,9,5
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,Y,Y,N,58,81,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,9,8,4
bp,N,N,N,0,0,0
bq,N,N,N,0,0,0
br,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,N,7,7,0
bv,N,N,N,0,0,0
bw,N,N,N,0,0,0
bx,N,N,N,0,0,0
by,N,N,N,0,0,0
bè,N,N,N,0,0,0
bé,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
bɔ,Y,Y,Y,3,2,3
bɛ,Y,Y,Y,9,19,9
bɩ,Y,Y,Y,4,31,17
bʋ,Y,Y,Y,26,38,10
ca,Y,Y,Y,6,2,2
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,Y,N,0,2,1
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,Y,N,1,3,0
ci,Y,N,N,4,1,1
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,Y,Y,N,2,2,0
cp,N,N,N,0,0,0
cq,N,N,N,0,0,0
cr,Y,Y,N,13,9,0
cs,N,N,N,0,0,0
ct,N,N,N,0,1,0
cu,N,N,N,0,0,0
cv,N,N,N,0,0,0
cw,N,N,N,0,0,0
cx,N,N,N,0,0,0
cy,N,N,N,0,0,0
cè,N,N,N,0,0,0
cé,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
cɛ,Y,Y,Y,5,4,3
cɩ,Y,Y,Y,14,4,2
cʋ,Y,N,N,4,0,0
da,Y,Y,Y,30,9,2
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,3,2,2
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,N,16,11,1
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,N,2,4,0
dp,N,N,N,0,0,0
dq,N,N,N,0,0,0
dr,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,9,8,4
dv,N,N,N,0,0,0
dw,N,N,N,0,0,0
dx,N,N,N,0,0,0
dy,N,N,N,0,0,0
dè,N,N,N,0,0,0
dé,Y,N,N,2,0,0
dŋ,N,N,N,0,0,0
dɔ,Y,Y,Y,9,5,2
dɛ,Y,Y,Y,10,60,54
dɩ,Y,Y,Y,11,13,4
dʋ,Y,Y,Y,17,61,53
ea,N,Y,N,0,2,0
eb,N,Y,N,0,5,0
ec,N,Y,N,0,3,0
ed,N,Y,N,0,12,0
ee,N,Y,Y,0,17,7
ef,N,N,N,0,0,0
eg,N,Y,N,0,3,0
eh,N,N,N,0,1,0
ei,N,N,N,0,0,0
ej,N,N,N,0,0,0
ek,N,Y,N,0,4,0
el,N,Y,N,0,22,1
em,N,Y,N,1,2,0
en,N,Y,Y,0,22,4
eo,N,N,N,0,0,0
ep,N,Y,N,0,6,0
eq,N,N,N,0,0,0
er,N,Y,Y,0,7,2
es,Y,Y,Y,2,8,7
et,N,Y,N,1,15,1
eu,N,Y,N,0,3,0
ev,N,Y,N,0,2,0
ew,N,Y,N,0,2,0
ex,N,N,N,0,0,0
ey,N,N,N,0,1,0
eè,N,N,N,0,0,0
eé,N,N,N,0,0,0
eŋ,N,N,N,0,0,0
eɔ,N,N,N,0,0,0
eɛ,N,N,N,0,0,0
eɩ,N,N,N,0,0,0
eʋ,N,N,N,0,0,0
fa,Y,N,N,3,0,0
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,N,N,0,0,0
ff,N,N,N,0,1,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,Y,Y,N,3,3,0
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,Y,N,N,10,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,N,N,0,0,0
fp,N,N,N,0,0,0
fq,N,N,N,0,0,0
fr,N,N,N,0,1,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,N,N,N,0,0,0
fv,N,N,N,0,0,0
fw,N,N,N,0,0,0
fx,N,N,N,0,0,0
fy,N,N,N,0,0,0
fè,N,N,N,0,0,0
fé,N,N,N,0,0,0
fŋ,N,N,N,0,0,0
fɔ,N,N,N,0,0,0
fɛ,N,N,N,0,0,0
fɩ,N,Y,Y,0,2,2
fʋ,N,N,N,0,1,0
ga,N,N,N,0,0,0
gb,Y,Y,N,40,79,1
gc,N,N,N,0,0,0
gd,N,N,N,0,0,0
ge,N,Y,Y,0,9,3
gf,N,N,N,0,0,0
gg,N,N,N,0,0,0
gh,N,N,N,0,0,0
gi,N,Y,N,0,3,0
gj,N,N,N,0,0,0
gk,N,N,N,0,0,0
gl,N,N,N,0,1,0
gm,N,N,N,0,0,0
gn,N,N,N,0,1,0
go,N,N,N,1,0,0
gp,N,N,N,0,0,0
gq,N,N,N,0,0,0
gr,N,N,N,0,0,0
gs,N,N,N,0,0,0
gt,N,N,N,0,0,0
gu,N,N,N,0,1,0
gv,N,N,N,0,0,0
gw,N,N,N,0,0,0
gx,N,N,N,0,0,0
gy,N,N,N,0,0,0
gè,N,N,N,0,0,0
gé,N,N,N,0,0,0
gŋ,N,N,N,0,0,0
gɔ,N,N,N,0,0,0
gɛ,N,N,N,0,0,0
gɩ,N,N,N,0,0,0
gʋ,N,N,N,0,0,0
ha,Y,Y,N,7,4,0
hb,N,N,N,0,0,0
hc,N,N,N,0,0,0
hd,N,N,N,0,0,0
he,N,N,N,0,1,1
hf,N,N,N,0,0,0
hg,N,N,N,0,0,0
