bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,Y,Y,Y,1330,6109,38
ab,Y,Y,N,624,5868,0
ac,Y,Y,N,216,1686,0
ad,Y,Y,N,7,189,0
ae,Y,Y,Y,4,26,2
af,Y,Y,N,17,443,0
ag,Y,Y,N,9,341,0
ah,N,Y,N,1,6,0
ai,Y,Y,N,42,1910,0
aj,Y,Y,N,27,645,0
ak,Y,Y,N,2480,13816,0
al,Y,Y,N,355,7074,0
am,Y,Y,N,1016,8102,0
an,Y,Y,N,328,9318,1
ao,Y,Y,N,7,25,0
ap,Y,Y,N,25,1231,0
as,Y,Y,N,91,3494,0
at,Y,Y,N,337,3933,0
au,Y,Y,N,33,1457,0
av,Y,Y,N,15,336,0
aw,Y,Y,N,32,300,0
ay,Y,Y,N,164,2312,1
az,Y,Y,N,363,2857,0
aŋ,Y,Y,N,2,43,0
ba,Y,Y,Y,5078,8916,1917
bb,Y,Y,N,28,476,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,Y,Y,Y,38,2282,471
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,Y,Y,Y,21,2863,437
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,N,N,N,0,0,0
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,Y,Y,Y,41,2503,370
bp,N,N,N,0,0,0
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,Y,Y,Y,722,3239,77
bv,N,N,N,0,0,0
bw,Y,Y,N,707,1909,0
by,N,Y,N,0,259,0
bz,N,N,N,0,0,0
bŋ,N,N,N,0,0,0
ca,Y,Y,Y,1125,500,35
cb,N,N,N,0,0,0
cc,Y,Y,N,2,53,0
cd,N,N,N,0,0,0
ce,Y,Y,Y,26,714,33
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,N,N,N,1,0,0
ci,Y,Y,Y,869,3296,19
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,Y,Y,Y,13,499,34
cp,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,Y,Y,N,15,80,0
cv,N,N,N,0,0,0
cw,Y,N,N,2,1,0
cy,N,N,N,0,0,0
cz,N,N,N,0,0,0
cŋ,N,N,N,0,0,0
da,Y,Y,Y,2,3753,1652
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,Y,N,N,3,0,0
de,Y,Y,Y,4,3272,2515
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,Y,Y,Y,7,3517,213
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,Y,Y,Y,6,394,141
dp,N,N,N,0,0,0
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,5,647,146
dv,N,N,N,0,0,0
dw,N,Y,N,1,994,0
dy,N,Y,N,0,155,0
dz,N,N,N,0,0,0
dŋ,N,N,N,0,0,0
ea,N,Y,N,0,11,0
eb,N,Y,N,0,327,0
ec,N,Y,N,1,108,0
ed,N,Y,N,1,1611,0
ee,Y,Y,Y,65,2032,4
ef,Y,Y,N,2,22,0
eg,N,Y,N,0,421,0
eh,N,N,N,0,0,0
ei,N,Y,N,0,5,0
ej,N,Y,N,0,102,0
ek,N,Y,N,0,1730,0
el,N,Y,N,1,3892,0
em,Y,Y,N,3,1385,0
en,Y,Y,N,12,2957,0
eo,N,Y,N,0,3,0
ep,N,Y,N,0,41,0
es,N,Y,N,0,544,0
et,Y,Y,N,2,1010,0
eu,N,Y,N,0,4,0
ev,N,Y,N,0,7,0
ew,N,Y,N,0,8,0
ey,N,Y,N,1,467,1
ez,N,Y,N,1,1538,0
eŋ,N,Y,N,0,2,0
fa,N,Y,Y,0,6,5
fb,N,N,N,0,0,0
fc,N,N,N,0,0,0
fd,N,N,N,0,0,0
fe,N,N,N,0,1,0
ff,N,N,N,0,0,0
fg,N,N,N,0,0,0
fh,N,N,N,0,0,0
fi,N,N,N,0,0,0
fj,N,N,N,0,0,0
fk,N,N,N,0,0,0
fl,N,N,N,0,0,0
fm,N,N,N,0,0,0
fn,N,N,N,0,0,0
fo,N,Y,N,0,16,0
fp,N,N,N,0,0,0
fs,N,N,N,0,0,0
ft,N,N,N,0,0,0
fu,Y,Y,Y,9,606,96
fv,N,N,N,0,0,0
fw,Y,Y,N,9,598,0
