bigram,valid_start,valid_middle,valid_end,start_count,middle_count,end_count
aa,N,Y,Y,0,6,6
ab,Y,N,N,5,1,1
ac,N,Y,N,0,2,0
ad,N,Y,N,0,6,0
ae,N,N,N,0,0,0
af,Y,N,N,2,0,0
ag,Y,Y,N,5,4,0
ah,Y,N,N,2,0,1
ai,N,N,N,0,0,0
aj,Y,Y,Y,5,14,2
ak,Y,Y,N,6,13,1
al,Y,Y,Y,25,2,2
am,Y,Y,N,2,9,1
an,Y,Y,Y,8,13,2
ao,N,N,N,0,0,0
ap,Y,Y,N,2,5,1
ar,Y,Y,N,3,10,0
as,N,N,N,0,0,0
at,N,Y,N,0,7,0
au,N,N,N,0,0,0
aw,Y,N,N,2,1,1
ay,Y,Y,N,2,3,1
aā,N,N,N,0,0,0
aē,N,N,N,0,0,0
aī,N,N,N,0,0,0
aō,N,N,N,0,0,0
aū,N,N,N,0,0,0
aɔ,N,N,N,0,0,0
aɛ,N,N,N,0,0,0
ba,N,Y,Y,1,21,12
bb,N,N,N,0,0,0
bc,N,N,N,0,0,0
bd,N,N,N,0,0,0
be,N,Y,Y,0,3,3
bf,N,N,N,0,0,0
bg,N,N,N,0,0,0
bh,N,N,N,0,0,0
bi,N,Y,Y,1,9,4
bj,N,N,N,0,0,0
bk,N,N,N,0,0,0
bl,Y,Y,Y,2,14,3
bm,N,N,N,0,0,0
bn,N,N,N,0,0,0
bo,N,Y,Y,0,12,6
bp,N,N,N,0,0,0
br,Y,Y,N,2,10,1
bs,N,N,N,0,0,0
bt,N,N,N,0,0,0
bu,N,Y,Y,1,6,4
bw,N,Y,N,0,4,0
by,N,Y,N,0,2,0
bā,Y,Y,Y,2,12,9
bē,N,Y,Y,0,6,4
bī,Y,Y,Y,3,12,8
bō,Y,Y,Y,3,11,5
bū,Y,Y,Y,3,13,12
bɔ,N,Y,Y,1,11,5
bɛ,N,Y,Y,0,13,8
ca,N,N,N,0,0,0
cb,N,N,N,0,0,0
cc,N,N,N,0,0,0
cd,N,N,N,0,0,0
ce,N,N,N,0,0,0
cf,N,N,N,0,0,0
cg,N,N,N,0,0,0
ch,Y,Y,Y,33,53,3
ci,N,N,N,0,0,0
cj,N,N,N,0,0,0
ck,N,N,N,0,0,0
cl,N,N,N,0,0,0
cm,N,N,N,0,0,0
cn,N,N,N,0,0,0
co,N,N,N,0,0,0
cp,N,N,N,0,0,0
cr,N,N,N,0,0,0
cs,N,N,N,0,0,0
ct,N,N,N,0,0,0
cu,N,N,N,0,0,0
cw,N,N,N,0,0,0
cy,N,N,N,0,0,0
cā,N,N,N,0,0,0
cē,N,N,N,0,0,0
cī,N,N,N,0,0,0
cō,N,N,N,0,0,0
cū,N,N,N,0,0,0
cɔ,N,N,N,0,0,0
cɛ,N,N,N,0,0,0
da,N,Y,Y,1,9,10
db,N,N,N,0,0,0
dc,N,N,N,0,0,0
dd,N,N,N,0,0,0
de,Y,Y,Y,7,8,5
df,N,N,N,0,0,0
dg,N,N,N,0,0,0
dh,N,N,N,0,0,0
di,N,Y,Y,1,2,2
dj,N,N,N,0,0,0
dk,N,N,N,0,0,0
dl,N,N,N,0,0,0
dm,N,N,N,0,0,0
dn,N,N,N,0,0,0
do,N,N,N,1,1,0
dp,N,N,N,0,0,0
dr,N,Y,N,0,2,1
ds,N,N,N,0,0,0
dt,N,N,N,0,0,0
du,Y,Y,Y,2,13,12
dw,N,Y,N,1,2,0
dy,N,N,N,0,0,0
dā,N,Y,Y,0,3,3
dē,N,Y,Y,0,3,3
dī,N,Y,N,0,2,0
dō,Y,Y,Y,2,3,2
dū,N,Y,N,0,2,1
dɔ,N,Y,Y,0,3,2
dɛ,N,N,N,1,1,1
ea,N,N,N,0,0,0
eb,N,N,N,1,1,0
ec,N,N,N,0,0,0
ed,N,Y,N,0,2,0
ee,N,N,N,0,0,0
ef,N,N,N,0,0,0
eg,Y,N,N,2,0,0
eh,Y,N,N,2,0,1
ei,N,N,N,0,0,0
ej,Y,Y,N,3,3,0
ek,N,Y,N,1,5,1
el,N,N,N,1,1,1
em,N,N,N,0,0,0
en,Y,Y,N,2,5,1
eo,N,N,N,0,0,0
ep,N,N,N,1,1,0
